rhesus_macaques gene name,commonmarmosets gene name,correlation
AMER2,AMER2,0.97616965
FLVCR2,FLVCR2,0.9761695
APOA4,APOA4,0.9761568
TAX1BP3,TAX1BP3,0.9761543
ANKMY1,ANKMY1,0.9761458
SLC27A4,SLC27A4,0.97614396
IFI30,IFI30,0.97613925
PGK2,PGK2,0.97610366
TRANK1,TRANK1,0.9760991
LRRC20,LRRC20,0.97609746
COMMD6,COMMD6,0.97609717
S100A8,S100A8,0.9760856
SLC35E2,SLC35E2B,0.97605526
PGF,PGF,0.9760505
KLHDC8B,KLHDC8B,0.9760437
PRXL2C,PRXL2C,0.9760203
C14H11orf86,C11orf86,0.9760074
DIABLO,DIABLO,0.9759908
NELFE,NELFE,0.97598565
CDH24,CDH24,0.97598046
CSF1,CSF1,0.9759677
RRP1B,RRP1B,0.9759524
AGPS,AGPS,0.97594887
MCTP1,MCTP1,0.97593457
TRBV23-1,TRBV23-1,0.9759227
MRPL45,MRPL45,0.9759097
GHRHR,GHRHR,0.9759064
CD53,CD53,0.9758924
IL26,IL26,0.9758889
SSMEM1,SSMEM1,0.97588795
PRR12,PRR12,0.97587436
SMARCB1,SMARCB1,0.97586805
SOX18,SOX18,0.9758665
MAL2,MAL2,0.97585416
POU3F2,POU3F3,0.97585326
ASB11,ASB11,0.9758521
SPON1,SPON1,0.9758396
NEIL2,NEIL2,0.9758378
CAPRIN1,CAPRIN1,0.97583663
TRAV38-1,TRAV38-2DV8,0.9758302
DNAAF4,DNAAF4,0.9758171
SLC45A2,SLC45A2,0.97580224
PTPN23,PTPN23,0.9757869
DENND1A,DENND1A,0.97577626
MRGPRX3,MRGPRX2,0.97576857
TCP11,TCP11,0.97576815
CHRNA7,CHRNA7,0.975765
DCAF8L1,DCAF8L1,0.9757315
HDAC10,HDAC10,0.97572994
DSTYK,DSTYK,0.97572213
RAB3IP,RAB3IP,0.9757212
NDRG1,NDRG1,0.97571176
SELENOI,SELENOI,0.97571176
RALGPS1,RALGPS1,0.97571105
CST9,CST9,0.9756931
CD34,CD34,0.97568846
CFD,CFD,0.97568697
ISG15,ISG15,0.9756442
PPP1R1C,PPP1R1C,0.9756367
KDM5A,KDM5A,0.9756317
ARPC2,ARPC2,0.9756291
JCHAIN,JCHAIN,0.97561276
LRRIQ1,LRRIQ1,0.9756112
TSHB,TSHB,0.9756025
C1QTNF2,C1QTNF2,0.97559893
GALNT9,GALNT9,0.9755904
TP53I3,TP53I3,0.9755839
ACP6,ACP6,0.97557706
MYCN,MYCN,0.97556645
CAP2,CAP2,0.9755647
FCMR,FCMR,0.97556114
ATG9A,ATG9A,0.9755242
NAT9,NAT9,0.9755126
CHKB,CHKB,0.97550994
FBXO5,FBXO5,0.97547126
GCA,GCA,0.97545
SLC22A12,SLC22A12,0.97544736
RBM41,RBM41,0.9754352
SOD1,SOD1,0.9754351
GPN3,GPN3,0.97542024
XPO1,XPO1,0.97541064
SPATA2L,SPATA2L,0.97540724
SLC35A3,MFSD14A,0.9753894
HSD11B1L,HSD11B1L,0.97538006
SBDS,SBDS,0.97537315
ZNF606,ZNF606,0.97537136
CYP2E1,CYP2E1,0.97536576
HEXA,HEXA,0.97536266
ZCCHC17,ZCCHC17,0.97532904
EYA2,EYA2,0.97532356
CNN3,CNN3,0.97531974
FOSB,FOSB,0.97530013
MSH3,MSH3,0.9752792
RAB11B,RAB11B,0.9752742
SERPINB5,SERPINB5,0.97526604
ANKRD44,ANKRD44,0.9752577
CFAP36,CFAP36,0.9752406
VEGFA,VEGFA,0.97523415
PRDX2,PRDX2,0.975234
HOMER3,HOMER3,0.97523344
SNRPD3,SNRPD3,0.97522473
LYPD8,LYPD8,0.9752233
CCDC154,CCDC154,0.9752169
PHPT1,PHPT1,0.9751999
UBE3C,UBE3C,0.97518235
UBE2L6,UBE2L6,0.9751625
ISM1,ISM1,0.97516066
MTFR1L,MTFR1L,0.9751604
RAB3IL1,RAB3IL1,0.97514343
C1H1orf232,C1orf232,0.9751329
MARCHF10,MARCHF10,0.9751267
CHIA,CHIA,0.97512156
GPR18,GPR18,0.97511023
HERC6,HERC6,0.97511005
FADS3,FADS1,0.9750847
CCDC187,CCDC187,0.9750738
ALOX5,ALOX5,0.97507334
TRPM8,TRPM8,0.97504234
NHSL3,NHSL3,0.97503644
YPEL4,YPEL4,0.9750296
FKBP6,FKBP6,0.97500896
PDLIM4,PDLIM4,0.9750063
TM9SF4,TM9SF4,0.97499055
ZNF81,ZNF175,0.97498405
SLC25A45,SLC25A45,0.9749834
SRY,SRY,0.9749697
COX7B,COX7B,0.97496825
MIXL1,MIXL1,0.9749663
ARHGAP26,ARHGAP26,0.97496223
MACROD1,MACROD1,0.9749599
UBE2G2,UBE2G2,0.9749567
VSTM4,VSTM4,0.9749563
SMIM31,SMIM31,0.9749278
MS4A2,MS4A2,0.97492665
DYRK1B,DYRK1B,0.9749159
IL5,IL5,0.9749067
OR51E2,OR51E2,0.97490275
TOR1AIP2,TOR1AIP2,0.9748987
SDR39U1,SDR39U1,0.9748726
FBLIM1,FBLIM1,0.9748682
CD52,CD52,0.97486323
LYPD3,LYPD3,0.97485924
PGBD5,PGBD5,0.974838
CHMP6,CHMP6,0.97483563
PBLD,PBLD,0.97483194
PTH1R,PTH1R,0.97482574
VTN,VTN,0.9748039
DRAP1,DRAP1,0.97480196
CCER2,CCER2,0.9747913
AGER,AGER,0.97479033
CRB3,CRB3,0.9747903
HAO1,HAO1,0.9747722
ADGRG5,ADGRG5,0.97476095
IVNS1ABP,IVNS1ABP,0.9747485
ANKFN1,ANKFN1,0.9747389
PTK7,PTK7,0.9747345
TMEM249,TMEM249,0.97473437
CMYA5,CMYA5,0.974732
JAGN1,JAGN1,0.97472936
EIF6,EIF6,0.97472316
TEX13A,TEX13A,0.9747042
OPALIN,OPALIN,0.9746909
PRADC1,PRADC1,0.97466344
CIMAP2,CIMAP2,0.9746604
SEPTIN10,SEPTIN10,0.97465676
STAT4,STAT4,0.9746524
TMEM120B,TMEM120A,0.97463983
CRISP1,CRISP1,0.97462755
SOBP,SOBP,0.97461045
PRR3,PRR3,0.9745862
ATAD2,ATAD2,0.97458315
PPARGC1B,PPARGC1B,0.97457737
G6PC1,G6PC1,0.97455025
DKK2,DKK2,0.9745472
ADAMTS2,ADAMTS2,0.9745427
AHSG,AHSG,0.9745399
CD226,CD226,0.9745377
BZW2,BZW2,0.97452503
ANAPC10,ANAPC10,0.97450775
PRG4,PRG4,0.97449225
MAP3K19,MAP3K19,0.974464
FAM216B,FAM216B,0.974462
TRIM8,TRIM8,0.9744308
LYRM1,LYRM1,0.9744288
C1H1orf105,C1orf105,0.97437394
SULT4A1,SULT4A1,0.974361
OTUD6B,OTUD6B,0.9743416
GABRA5,GABRA5,0.9743372
GPA33,GPA33,0.97431654
ZFP30,ZFP30,0.9743153
CAPN6,CAPN6,0.97430605
NEK10,NEK10,0.97430354
CLEC7A,CLEC7A,0.9743032
STK26,STK26,0.9742885
ZNF124,ZNF124,0.9742512
MINDY4,MINDY4,0.97424984
ALX3,ALX3,0.9742398
IRF5,IRF5,0.9742298
IKZF2,IKZF2,0.97422785
CYTH1,CYTH1,0.97422516
HSD17B11,HSD17B11,0.97422516
IAPP,IAPP,0.9742044
NMRK1,NMRK1,0.9742038
GALNT11,GALNT11,0.97418356
CRYAA,CRYAA,0.9741597
TMX1,TMX1,0.9741525
NRXN3,NRXN3,0.9741244
APEX2,APEX2,0.9741142
STX6,STX6,0.9741117
CTHRC1,CTHRC1,0.9741088
TSSC4,TSSC4,0.97410727
IFT88,IFT88,0.97410345
TCEA1,TCEA1,0.9741027
MYL3,MYL3,0.974101
MYDGF,MYDGF,0.9740987
GLYCTK,GLYCTK,0.97408944
CIPC,CIPC,0.9740849
ITPR2,ITPR2,0.97407806
OSTN,OSTN,0.9740771
PKD1L1,HUS1,0.9740744
FCER1A,FCER1A,0.9740729
SPATA45,SPATA45,0.97406787
EPSTI1,EPSTI1,0.974049
NOTCH2,NOTCH2,0.97404844
SYPL1,SYPL1,0.9740251
DUSP10,DUSP10,0.974025
SYN1,SYN1,0.9740247
PMFBP1,PMFBP1,0.97402185
C10H20orf96,C20orf96,0.9740167
GLDC,GLDC,0.9740102
IPO4,IPO4,0.97400177
MRPL50,MRPL50,0.9739956
FAM78A,FAM78A,0.97398233
NUBPL,NUBPL,0.973968
RARA,RARA,0.97396606
IAH1,IAH1,0.9739612
GM2A,GM2A,0.9739591
WIPF2,CDC6,0.9739493
VPS72,VPS72,0.97391766
NSL1,NSL1,0.97390985
ABO,ABO,0.97389036
TMEM259,TMEM259,0.9738839
SRD5A3,SRD5A3,0.9738764
SCCPDH,SCCPDH,0.973868
CDS2,CDS2,0.9738629
ZBED1,ZBED1,0.97385174
ISOC1,ISOC1,0.97384536
CDH5,CDH5,0.97383434
VCAM1,VCAM1,0.9738334
ATG101,ATG101,0.9738223
ETV2,ETV2,0.9738192
SCGB3A1,SCGB3A1,0.973819
LMNTD1,LMNTD1,0.97380483
PPM1F,PPM1F,0.97380275
DNAJA4,DNAJA4,0.97379345
PLAAT3,PLAAT3,0.9737823
CXHXorf66,CXorf66,0.97376776
CCL11,CCL2,0.97376
ZSCAN21,ZSCAN23,0.97375613
PRRT2,PRRT2,0.9737469
SLURP1,SLURP1,0.97372204
TMEM213,TMEM213,0.9737194
RAB8B,RAB8B,0.97370344
INTS4,INTS4,0.9736455
RANGRF,RANGRF,0.97363824
PHB2,PHB2,0.97361743
MBL2,MBL2,0.973616
PLIN4,PLIN4,0.97360605
CNDP1,CNDP2,0.9735965
UGGT2,UGGT2,0.9735914
GOLGA2,GOLGA2,0.9735867
MRPS18B,MRPS18B,0.973581
RABAC1,RABAC1,0.97357833
C17orf114,C17orf114,0.97357595
ENSA,ENSA,0.9735675
LIPA,LIPA,0.97355586
PAFAH1B2,PAFAH1B2,0.9735555
TUT7,TUT7,0.97355324
SMTNL1,SMTNL1,0.9735252
SUSD3,SUSD3,0.9735016
RENBP,RENBP,0.9734971
PRPS2,PRPS2,0.97346956
LIN37,LIN37,0.97345865
CHRNA3,CHRNA3,0.9734544
ADHFE1,ADHFE1,0.97343403
EIF4G3,EIF4G3,0.9734158
FBXW9,FBXW9,0.9733971
PHACTR1,PHACTR1,0.9733963
VCPIP1,VCPIP1,0.9733727
RAB24,RAB24,0.9733703
KLRF2,KLRF2,0.9733446
RAB36,RAB36,0.9733435
OR4A47,OR4C12,0.9733428
EFCAB12,EFCAB12,0.97334063
LRRFIP2,LRRFIP2,0.97334045
PDHX,PDHX,0.9733261
SLC17A1,SLC17A1,0.97330153
B4GALNT1,B4GALNT1,0.9733005
PCLAF,PCLAF,0.973293
SH3BP5L,SH3BP5L,0.973282
CXCL6,CXCL6,0.97327214
COX10,COX10,0.9732599
SSR4,SSR4,0.9732576
LRRC36,LRRC36,0.9732467
TCOF1,TCOF1,0.9732407
ANO3,ANO3,0.97323513
RAB7B,RAB7B,0.97323513
SFTA2,SFTA2,0.9731807
CLN8,CLN8,0.9731626
ICMT,ICMT,0.9731626
AP4M1,AP4M1,0.97314024
CLEC1B,CLEC1B,0.9731397
OGA,OGA,0.97313565
FCRLA,FCRLA,0.9731338
FBXO40,POLQ,0.97310627
SLC16A2,SLC16A2,0.97310185
GCGR,GCGR,0.97310024
HSPA9,HSPA9,0.9730976
MED6,MED6,0.9730905
IL1RL1,IL1RL1,0.9730743
SF1,SF1,0.9730631
RARRES1,RARRES1,0.9730568
SDF4,SDF4,0.9730253
POMC,POMC,0.9730079
NACAD,NACAD,0.97300386
SP110,SP110,0.97299904
TNFSF9,TNFSF9,0.9729842
STAP2,STAP2,0.972969
CBY2,CBY2,0.97296894
ASL,ASL,0.9729559
NUDT15,NUDT15,0.9729513
SFSWAP,SFSWAP,0.97294176
ACACB,ACACB,0.972929
CACNG5,CACNG5,0.97292364
NR1I3,NR1I3,0.9729103
HSD17B12,HSD17B12,0.9728914
BRCA1,BRCA1,0.9728797
RBM24,RBM24,0.97287846
C5H4orf19,C4orf19,0.9728697
LAIR1,LAIR1,0.97285306
TSPAN8,TSPAN8,0.9728514
CDH13,CDH13,0.9728501
PLBD2,PLBD2,0.9728432
GDF7,GDF7,0.97283816
XYLB,XYLB,0.97282606
SARDH,SARDH,0.97282577
TMT1B,TMT1B,0.97281736
LNP1,LNP1,0.97281694
CATSPERZ,CATSPERZ,0.9728068
TMEM134,TMEM134,0.972793
CCDC93,CCDC93,0.97279006
NEPRO,NEPRO,0.9727838
TMEM116,TMEM116,0.9727747
TEX26,TEX26,0.9727624
PYCR1,PYCR1,0.9727538
SLC25A22,SLC25A22,0.9727529
CAPNS1,CAPNS1,0.9727495
CERS4,CERS4,0.9727366
OCIAD1,OCIAD1,0.9727191
SMARCA1,SMARCA1,0.97271824
KCNB1,KCNB1,0.9726854
GMFG,GMFG,0.97266686
SYCE1L,SYCE1L,0.97266454
C10orf143,C10orf143,0.9726585
FLYWCH2,FLYWCH2,0.97265375
OCIAD2,OCIAD2,0.9726267
BTN2A2,BTN2A1,0.972625
MAP4K2,MAP4K2,0.9726229
BANF2,BANF2,0.9726223
GPR180,GPR180,0.97260165
RAB2B,RAB2B,0.9725802
EFNA3,EFNA3,0.9725722
KLHDC9,KLHDC9,0.9725593
KYNU,KYNU,0.97255814
PRIM2,PRIM2,0.97255784
AIPL1,AIPL1,0.97254866
EYS,EYS,0.97254217
IFI35,IFI35,0.9725421
AMMECR1,AMMECR1,0.97253764
ZCWPW2,ZCWPW2,0.97253615
SAP30L,SAP30L,0.97251576
CCDC61,CCDC61,0.97250736
SLC35A2,SLC35A2,0.9725025
LAPTM5,LAPTM5,0.9724996
FCRL4,FCRL4,0.9724912
POLR1E,POLR1E,0.97248566
SIGLEC6,SIGLEC14,0.9724852
CYP2B6,CYP2B6,0.9724691
DDX52,DDX52,0.9724585
ZNF131,ZNF131,0.9724573
USP15,USP15,0.972444
CD79B,CD79B,0.97242975
TMEM108,TMEM108,0.9724245
COQ6,COQ6,0.9724191
ZNF655,ZNF655,0.9724073
MLLT10,MLLT10,0.9724021
SCAND1,SCAND1,0.9723844
CD86,CD86,0.97237796
APOM,APOM,0.9723625
DDX17,DDX17,0.9723587
DALRD3,DALRD3,0.9723575
SKAP1,SKAP1,0.97235733
SEPTIN12,SEPTIN12,0.97233915
BHLHE41,BHLHE41,0.97233087
DOK5,DOK5,0.9723222
UROS,UROS,0.9723213
WDR47,WDR47,0.9723065
IFFO1,IFFO1,0.972297
ACER2,ACER2,0.9722871
CMA1,CMA1,0.9722807
TSPAN31,TSPAN31,0.9722534
G0S2,G0S2,0.9722364
CENPV,CENPV,0.97223336
PTGDR2,PTGDR2,0.9722283
CYB5RL,CYB5RL,0.9722273
SPN,SPN,0.97219455
ZC4H2,ZC4H2,0.9721933
ADA2,ADA2,0.9721921
COPZ2,COPZ2,0.9721906
ERICH6B,ERICH6B,0.9721898
ZNF426,ZNF426,0.97218394
CIMIP2B,CIMIP2B,0.97218037
HNRNPA2B1,HNRNPA2B1,0.97217596
PRSS37,PRSS37,0.9721441
LTBP1,LTBP1,0.97214127
TMEM154,TMEM154,0.9721393
STARD3,STARD3,0.97213465
ELOVL7,ELOVL7,0.97213125
FKBP8,FKBP8,0.97210944
ENPP7,ENPP7,0.97209555
KDELR1,KDELR2,0.97209543
PPM1L,PPM1L,0.97209394
AZGP1,AZGP1,0.97208756
NTAN1,NTAN1,0.9720874
COL9A1,COL9A1,0.9720848
FBXO16,FBXO16,0.9720667
GPATCH2L,GPATCH2L,0.97206044
IL1R2,IL1R2,0.97204953
PRSS48,PRSS48,0.9720428
CNBD2,CNBD2,0.9720352
CFAP221,CFAP221,0.9720316
MBD2,MBD2,0.97202975
DRC3,DRC3,0.9720246
CMTM2,CMTM2,0.97201854
SPDYC,SPDYC,0.97198987
MYH14,MYH14,0.9719864
C16H17orf49,C17orf49,0.97198075
MICAL2,MICAL2,0.9719757
NQO1,NQO1,0.97197556
DCLK3,DCLK3,0.9719668
GIMAP5,GIMAP5,0.9719589
ECI1,ECI1,0.9719415
PFDN6,PFDN6,0.9719392
COX11,COX11,0.9719194
COMMD2,COMMD2,0.97189975
BRMS1L,BRMS1L,0.97188646
CYP2W1,CYP2W1,0.97188044
PVALB,PVALB,0.9718685
PRR29,PRR29,0.97185904
DTYMK,DTYMK,0.9718416
SMOX,SMOX,0.9718263
NPW,NPW,0.9718243
ERMP1,ERMP1,0.9718137
MMP1,MMP1,0.97179335
GALE,GALE,0.971783
ADISSP,ADISSP,0.9717799
GPR146,GPR146,0.9717775
SLC12A5,SLC12A5,0.971777
C1QL2,C1QL2,0.9717747
KCTD7,KCTD7,0.9717642
CES2,CES2,0.97174865
HYKK,HYKK,0.9717452
ACBD4,ACBD4,0.97173935
SHROOM1,SHROOM1,0.9717344
PEMT,PEMT,0.9717303
MAPKAPK2,MAPKAPK2,0.97172326
SGK2,SGK2,0.9717229
ZSCAN9,ZSCAN9,0.9717005
OR2B3,OR2B6,0.9716972
MAP3K13,MAP3K13,0.97166884
SHROOM2,SHROOM2,0.9716485
NCSTN,NCSTN,0.9716465
FAM162B,FAM162B,0.97162545
MEIOB,MEIOB,0.97160196
CLEC4A,CLEC4A,0.97158605
KIAA0100,BLTP2,0.97157174
AKT1S1,AKT1S1,0.97156936
OR1J4,OR1J4,0.9715677
PMS1,PMS1,0.97156423
CFDP1,CFDP1,0.9715566
CHRNE,CHRNE,0.9715189
ADIPOQ,ADIPOQ,0.9715164
RNPEPL1,RNPEPL1,0.9715163
RTP3,RTP3,0.9715115
CMPK1,CMPK1,0.97149956
SHANK3,SHANK3,0.9714884
CYB561,CYB561,0.97145605
GNPTAB,GNPTAB,0.97143155
DYNAP,DYNAP,0.97141194
MXRA8,MXRA8,0.97139925
DNAJC27,DNAJC27,0.9713943
HRCT1,HRCT1,0.971385
ATP6AP1,ATP6AP1,0.9713748
THOC6,THOC6,0.97136885
SH3D21,SH3D21,0.97133523
MAMU-DOB,TAP2,0.9713236
CITED4,CITED4,0.97132194
RAB12,RAB12,0.97129834
CXCL1,CXCL1,0.97127926
SSH2,SSH2,0.9712753
FUCA2,FUCA2,0.97126836
ZNF174,ZNF174,0.97126514
SCARF2,KLHL22,0.97126096
TRMT13,TRMT13,0.9712602
NKD2,NKD2,0.97125995
ARMC12,ARMC12,0.9712277
RTN4RL2,RTN4RL2,0.9712195
ABHD13,ABHD13,0.9711982
HCST,HCST,0.97118545
EMP1,EMP1,0.9711694
LYAR,LYAR,0.9711609
FAM162A,FAM162A,0.9711587
IL1R1,IL1R1,0.9711549
NUFIP2,NUFIP2,0.971154
CCL22,CCL22,0.9711301
TRAV19,TRAV19,0.97112864
RNASE4,ANG,0.97112507
BICDL1,BICDL1,0.97110945
TRMT10B,TRMT10B,0.971105
LPCAT1,LPCAT1,0.9711027
PTPRN2,PTPRN2,0.9710997
CLEC19A,CLEC19A,0.97107446
SCIMP,SCIMP,0.9710688
ZMYM5,ZMYM5,0.9710635
DCXR,DCXR,0.971049
NLRC5,NLRC5,0.97104895
NCF4,NCF4,0.97102284
EFCAB6,EFCAB6,0.97101194
GALNT13,GALNT13,0.9710089
TCTA,TCTA,0.97099227
THAP6,THAP6,0.97098297
PPWD1,PPWD1,0.9709753
GABRA6,GABRA6,0.9709672
CCL25,CCL25,0.9709276
GABRR2,GABRR3,0.97089964
THUMPD2,THUMPD2,0.9708833
HGSNAT,HGSNAT,0.970867
SNTN,SNTN,0.97083575
DCDC2C,DCDC2C,0.97083217
HELLS,HELLS,0.97080994
ANKRD23,ANKRD23,0.97080225
CITED1,HDAC8,0.97078156
ALKBH7,ALKBH7,0.97076756
SLC66A2,SLC66A2,0.9707645
SCO1,SCO1,0.970742
REEP2,REEP2,0.9707005
TLE6,TLE6,0.9706908
CENPA,CENPA,0.9706553
WIF1,WIF1,0.97061586
MPHOSPH6,MPHOSPH6,0.97061497
CCDC198,CCDC198,0.97061455
CPLX4,CPLX4,0.97060376
LARP1B,LARP1B,0.9705707
GARIN1B,GARIN1B,0.9705641
GLO1,GLO1,0.9705491
ARIH2,ARIH2,0.97051877
SLC25A12,SLC25A12,0.970507
PAK4,PAK4,0.97050244
SF3B6,SF3B6,0.9704764
RTCB,RTCB,0.9704697
CDIPT,CDIPT,0.97046643
CYB5B,CYB5B,0.97045946
TRIT1,TRIT1,0.9704515
PRXL2B,PRXL2B,0.97044855
REEP4,REEP4,0.9704254
AP5Z1,AP5Z1,0.97041196
PLA2G4F,PLA2G4F,0.9703855
C20H16orf82,C16orf82,0.970379
GPIHBP1,GPIHBP1,0.97037685
HPCA,HPCA,0.97036034
PELP1,PELP1,0.97036004
EPB41L3,EPB41L3,0.97035694
ANAPC4,ANAPC4,0.97034883
ATG2A,ATG2A,0.9703427
HAGHL,HAGHL,0.97033435
SIRT7,SIRT7,0.9703149
RHOD,RHOD,0.9703049
NKAIN2,NKAIN1,0.9703014
MTNAP1,MTNAP1,0.9702819
HHIPL1,HHIPL1,0.9702578
SRRM2,SRRM2,0.9702572
TSGA10,TSGA10,0.97025704
HOXD8,HOXD8,0.9702553
SYNPO2,SYNPO2,0.9702379
MARCHF2,MARCHF2,0.9702201
XPNPEP2,XPNPEP2,0.9702134
IDS,IDS,0.9702046
FGGY,FGGY,0.9701911
IL24,IL24,0.97018766
CALCB,CALCB,0.9701618
C1H1orf162,C1orf162,0.9701609
TRAIP,TRAIP,0.9701575
HTRA3,HTRA3,0.9701555
PCDHB1,PCDHB14,0.97015345
SAYSD1,SAYSD1,0.97015303
CENPS,CENPS,0.9701454
EPC2,EPC2,0.97011244
RWDD2B,RWDD2B,0.97011054
DNALI1,DNALI1,0.97010064
WIPF1,WIPF1,0.97009194
PRSS54,PRSS54,0.9700905
GAD1,GAD1,0.970078
C9orf72,C9orf72,0.9700744
TTLL5,TTLL5,0.97007424
CCDC69,CCDC69,0.97006464
PROS1,PROS1,0.97006196
COQ3,COQ3,0.9700608
PROX2,PROX2,0.9700204
CCT4,CCT4,0.9700109
CREBL2,CREBL2,0.9699981
HTR3C,HTR3E,0.9699737
PCOLCE,PCOLCE,0.9699365
CD1E,CD1E,0.9698978
OR1E1,OR1J2,0.9698851
HERC5,HERC5,0.96988356
CASQ2,CASQ2,0.9698761
PSMB10,PSMB10,0.96987396
TMEM41B,TMEM41B,0.96987313
PHLDA2,PHLDA2,0.96985304
RAMP1,RAMP1,0.9698491
SLC9A6,SLC9A6,0.96984583
SLC35D2,SLC35D2,0.9698432
TMCO2,TMCO2,0.9698332
TEDDM1,TEDDM1,0.96982384
TRAV8-3,TRAV8-3,0.96981037
DEUP1,DEUP1,0.96979946
PRLH,PRLH,0.9697767
SCNN1B,SCNN1B,0.96975833
IL17RC,IL17RC,0.9697287
TREM2,TREM2,0.9697198
AKAP14,AKAP14,0.96969897
SFMBT2,SFMBT2,0.96962816
HADH,HADH,0.96962404
BCL2L11,BCL2L11,0.9696225
SAXO2,SAXO2,0.96962035
CRISPLD1,CRISPLD1,0.9696197
PTX3,PTX3,0.9696169
SNX6,SNX6,0.9696142
TMEM151B,TMEM151B,0.9696006
HOATZ,HOATZ,0.9695917
NKX3-1,NKX3-1,0.969589
SHKBP1,SHKBP1,0.96958876
BTN1A1,BTN1A1,0.96957725
MCL1,MCL1,0.9695712
ALPK1,ALPK1,0.96956307
IQCH,IQCH,0.9695596
MID1IP1,MID1IP1,0.96955657
DCPS,DCPS,0.9695521
TIPRL,TIPRL,0.969544
MAMSTR,MAMSTR,0.969528
KIAA0825,KIAA0825,0.9695193
BOLL,BOLL,0.9695164
CCDC57,CCDC57,0.9695013
MYO10,MYO10,0.96949774
BAMBI,BAMBI,0.9694968
TRIM47,TRIM47,0.9694758
CFAP61,CFAP61,0.9694671
DUSP22,DUSP22,0.9694408
CACNA2D4,CACNA2D4,0.96942884
PSMD10,PSMD10,0.96942776
INF2,INF2,0.96942675
FAHD1,FAHD1,0.9694155
TSC22D1,TSC22D1,0.96938545
SFXN4,SFXN4,0.969374
EID2B,EID2B,0.9693541
PRND,PRND,0.9693496
CLEC12A,CLEC12A,0.9693488
GHRH,GHRH,0.9693284
MDFI,MDFI,0.9693198
MRPL4,MRPL4,0.9692997
OR5AP2,OR5T3,0.9692905
NTS,NTS,0.9692823
BBOF1,BBOF1,0.969274
WRAP53,WRAP53,0.96924174
CEP43,CEP43,0.96923834
UTY,UTY,0.9692371
TTR,TTR,0.9692158
PNMA6E,PNMA6E,0.9692075
HERPUD1,HERPUD1,0.969188
CAPN1,CAPN11,0.9691685
WIZ,WIZ,0.96916664
CXCL8,CXCL8,0.96916604
OR1F1,OR1N1,0.9691644
C13H2orf74,C2orf74,0.9691563
TRBV16,TRBV16,0.9691489
KRT80,KRT80,0.96913385
STC1,STC1,0.9690998
ITGB1BP2,ITGB1BP2,0.9690899
DDX25,DDX25,0.96908385
MRPS28,MRPS28,0.96908116
ANKZF1,ANKZF1,0.9690652
TMEM80,TMEM80,0.96905214
DTNBP1,DTNBP1,0.969048
TBR1,TBR1,0.96902704
KIAA1210,KIAA1210,0.9690264
TMEM38A,TMEM38A,0.9690025
ELAVL1,ELAVL1,0.96900064
TSPAN19,TSPAN19,0.9689882
CD8A,CD8A,0.9689736
CPA2,CPA2,0.96895295
GLIPR1L2,GLIPR1L2,0.9689442
PAGE4,PAGE4,0.9689425
SRSF7,SRSF7,0.9689374
ARPC5L,ARPC5,0.9689232
MAP2K3,MAP2K3,0.9689165
CMKLR1,CMKLR1,0.968915
PDE1B,PDE1B,0.96890205
ADAP2,ADAP1,0.96890056
AQP6,AQP6,0.9688975
PHF2,PHF2,0.9688878
ZFAND4,ZFAND4,0.9688592
SCML4,SCML4,0.96885085
NAT2,NAT1,0.9688397
MIIP,MIIP,0.9688232
RSPH3,RSPH3,0.9688087
RGS9,RGS9,0.9688066
TH,TH,0.9688036
RBM38,RBM38,0.9687951
MS4A18,MS4A18,0.96878034
STK32C,STK32C,0.9687793
GRB14,GRB14,0.96874106
RNF217,RNF217,0.9687247
TRIM68,TRIM68,0.9687156
PRKAB2,PRKAB2,0.9687063
SMIM24,SMIM24,0.9686882
KXD1,KXD1,0.96868646
ZNF329,ZNF329,0.9686754
TRPM3,TRPM3,0.96866405
CAV1,CAV1,0.9686574
IL36B,IL36B,0.9686246
DDX31,DDX31,0.9686243
ZMYND10,ZMYND10,0.96861374
PUF60,PUF60,0.96859205
SLC16A10,SLC16A10,0.968591
PARP8,PARP8,0.96858215
PLAAT4,PLAAT4,0.9685812
TEX35,TEX35,0.96857285
KAT8,KAT8,0.9685662
FKBP7,FKBP7,0.9685512
EEF1AKMT1,EEF1AKMT1,0.96851987
RNF220,RNF220,0.9685106
CHCHD3,CHCHD3,0.96849966
TNIP2,TNIP2,0.96849394
SBF1,SBF1,0.96848893
DHRS13,DHRS13,0.9684877
NFATC1,NFATC1,0.9684851
DEFA4,DEFA5,0.96848387
GALNS,GALNS,0.9684491
AMPD3,AMPD3,0.96844447
VMO1,VMO1,0.9684399
MYO16,MYO16,0.96842676
CHD9,CHD9,0.9684252
ADGRD1,ADGRD1,0.96841645
MT1E,MT3,0.9684161
B3GNT7,B3GNT7,0.9684101
BCLAF3,BCLAF3,0.96837604
IQCF1,IQCF1,0.96836233
TSR2,TSR2,0.9683615
CREG2,CREG2,0.9683452
TCL1B,TCL1B,0.9683277
TMX4,TMX4,0.9682912
DCAF5,DCAF5,0.96828467
MAPKAPK3,MAPKAPK3,0.96825254
ZNF701,ZNF836,0.9682507
DCTN4,DCTN4,0.96824974
ZNF551,ZNF551,0.9682277
KCTD11,KCTD11,0.9682222
ACY3,ACY3,0.9682096
HSPB2,HSPB2,0.9682092
SALL2,SALL2,0.96820855
KRT9,KRT9,0.9682064
