human gene name,pig gene name,correlation
PRSS36,PRSS36,0.9243286
MANSC1,MANSC1,0.92432255
NPB,NPB,0.924317
MEX3C,MEX3C,0.9243164
ALDH2,ALDH2,0.9243077
PNKD,PNKD,0.924303
PPM1A,PPM1A,0.92428476
NOL3,HSF4,0.9242594
C5orf24,C5orf24,0.92425835
AQP3,AQP3,0.92425305
CFAP100,CFAP100,0.92424065
LBR,LBR,0.9242167
MRPL51,MRPL51,0.92421436
CLDN16,CLDN16,0.9241963
UBE2B,UBE2A,0.92417115
WFDC1,WFDC1,0.9241637
DNMT1,DNMT1,0.92415583
SCIMP,SCIMP,0.92415357
RMC1,RMC1,0.9241399
RPS27AP5,RPS27A,0.9240666
MAN2B1,MAN2B1,0.92405605
LY6G5C,LY6G5C,0.9240473
LTB,LTB,0.92404586
CBLC,CBLC,0.92403394
CPNE3,CPNE8,0.9240272
RANBP1,RANBP1,0.9240152
MTERF4,MTERF4,0.9240036
CRAMP1,CRAMP1,0.92399347
ACTR8,ACTR8,0.92398167
PDE7A,PDE7A,0.9239805
SLC12A9,SLC12A9,0.9239563
TTC12,TTC12,0.9239228
IQCF6,IQCF6,0.92390907
SPRYD7,SPRYD7,0.923881
ASAP3,ASAP3,0.9238806
POLM,POLM,0.92385805
EXOC5,EXOC5,0.92385775
UPRT,UPRT,0.92385167
RANBP17,RANBP17,0.9238138
ARHGEF16,ARHGEF16,0.9238088
ERP44,ERP44,0.92379034
DBF4B,DBF4B,0.9237863
LPP,LPP,0.92378324
CD320,CD320,0.92375696
TMEM258,TMEM258,0.9237534
SYN3,SYN3,0.9237153
USE1,USE1,0.9236975
TNFRSF9,TNFRSF9,0.9236945
NUP62CL,NUP62CL,0.92368275
POLD3,POLD3,0.9236724
PPFIA1,PPFIA2,0.92365885
U2SURP,U2SURP,0.9236536
KIAA2026,BRD10,0.9236313
NETO1,NETO1,0.9236284
GLRX,GLRX,0.92361563
BCO1,BCO1,0.92357355
MATK,MATK,0.9235453
CMAS,CMAS,0.92354494
SPPL2A,SPPL2A,0.92348874
DPPA2,DPPA2,0.9234543
C17orf75,C17orf75,0.92343086
C16orf46,C1orf105,0.92342925
SHKBP1,SHKBP1,0.92342407
STARD10,STARD10,0.9234156
DMAC2,DMAC2,0.9234111
DHRS7B,DHRS7B,0.92340803
SUPT4H1,SUPT4H1,0.92339283
ZNF202,ZNF202,0.92339265
UBA2,UBA3,0.92335725
IFT140,IFT140,0.92335284
BEX4,BEX4,0.92333835
DPP10,DPP10,0.92332476
UNG,UNG,0.9233188
TOR3A,TOR3A,0.9232874
NDUFS2,NDUFS2,0.9232548
BMP2K,BMP2K,0.9232269
KLHL28,KLHL28,0.92320687
ACSBG2,ACSBG2,0.92319596
SLC39A8,SLC39A8,0.9231712
LCOR,LCOR,0.9231527
PRPF40B,PRPF40B,0.92314947
NSMCE2,NSMCE2,0.92314595
FASLG,FASLG,0.9231422
PYCR3,PYCR3,0.92313266
ATF5,ATF5,0.9231317
RTL9,RTL9,0.92309517
BICD1,BICD1,0.923082
TGFB1I1,TGFB1I1,0.92306477
RNF144A,RNF144A,0.9230481
XYLB,XYLB,0.92304486
COL1A1,COL1A1,0.9230255
PGP,PGP,0.92301786
TFF2,TFF2,0.92288595
ISYNA1,ISYNA1,0.9228781
KCTD7,KCTD7,0.9228665
HSPG2,HSPG2,0.9228517
ZCWPW2,ZCWPW2,0.9228421
URM1,URM1,0.9228306
CRACR2A,CRACR2A,0.9227988
CEP192,CEP192,0.92277145
GIMAP1-GIMAP5,GIMAP2,0.922763
STXBP4,STXBP4,0.9227601
RELT,RELT,0.9227567
TMTC4,TMTC4,0.9227423
ASB5,ASB5,0.9227042
WDR86,WDR86,0.9226754
ILK,ILK,0.9226569
BCKDHA,BCKDHA,0.92265594
STAC2,STAC2,0.92263526
RDH13,RDH13,0.92262155
CHCHD6,CHCHD6,0.92256516
IQCF3,IQCF3,0.9225541
ERCC3,ERCC3,0.92252326
FCMR,FCMR,0.9225053
NSUN2,NSUN2,0.9225016
MMP16,MMP16,0.92249626
HCK,LCK,0.9224888
SCAMP1,SCAMP1,0.92247915
CCDC54,CCDC54,0.92246926
CHAT,CHAT,0.9224614
DPM2,DPM2,0.9224537
KIAA1328,KIAA1328,0.92243797
TRIM7,TRIM7,0.92242336
NMRAL1,NMRAL1,0.9223555
BFAR,BFAR,0.9223398
PROSER3,PROSER3,0.92233896
WDHD1,WDHD1,0.9223219
RADIL,RADIL,0.9223155
EGFLAM,EGFLAM,0.9223068
TMEM116,TMEM116,0.9222818
UBXN11,UBXN11,0.9222624
SHLD2,SHLD2,0.9222508
GON7,GON7,0.9222474
IL13,IL13,0.92224056
MFSD1,MFSD1,0.9222402
IL31RA,IL31RA,0.9222236
NRG3,NRG3,0.9222071
PCNX1,PCNX1,0.9221584
MARCHF5,MARCHF5,0.92215
TOX3,TOX3,0.9221497
ZCCHC10,ZCCHC10,0.9221243
NKX6-1,NKX6-1,0.9221121
ANPEP,ANPEP,0.9221105
MKLN1,MKLN1,0.9220931
PTPRN2,PTPRN2,0.92206806
PSCA,PSCA,0.92203605
SYT16,SYT16,0.9220263
NUPR1,TEX22,0.92197186
QTRT2,QTRT2,0.921962
EML5,EML6,0.92195964
MCM3AP,MCM3AP,0.9219556
DRC7,DRC7,0.9219417
TUBGCP4,TUBGCP4,0.92189693
AKTIP,AKTIP,0.92187625
RHPN2,RHPN2,0.92186743
MKNK1,MKNK2,0.9218664
BRAT1,BRAT1,0.9218213
HRH1,HRH1,0.92180324
BNC2,BNC2,0.9217993
PTPN18,PTPN18,0.9216813
KLF7,KLF7,0.92168015
PURA,PURA,0.9216761
RND1,RND1,0.92165387
FGF6,FGF6,0.9216483
MNAT1,MNAT1,0.9216441
OOEP,OOEP,0.921637
MCAM,MCAM,0.9216076
TXK,TXK,0.9216051
AANAT,AANAT,0.9216044
PORCN,PORCN,0.9215924
TEPP,SPMIP8,0.9215731
DPAGT1,DPAGT1,0.9215574
HBZ,HBZ,0.92155224
CCDC196,CCDC196,0.9215377
DTYMK,DTYMK,0.92153525
PIGG,ALG9,0.9215146
PSAP,PSAP,0.9214901
MTARC1,MTARC1,0.9214716
BAG3,BAG3,0.9214441
APOD,APOD,0.92144126
SEMA4G,SEMA4G,0.9214342
PGAP6,PGAP6,0.9214221
NOBOX,NOBOX,0.92141855
RPL22L1,RPL22L1,0.92141783
PRRT2,PRRT2,0.9213772
AATK,AATK,0.9213044
RBP2,RBP2,0.921277
CSNK1E,CSNK1E,0.92127085
ST18,ST18,0.921266
ALKAL2,ALKAL2,0.92126334
P2RX3,P2RX3,0.9212469
STX12,STX12,0.9212313
MTPAP,MTPAP,0.92122805
HTRA3,HTRA3,0.9212149
RABEP1,RABEP1,0.92121166
GRIN2A,GRIN2A,0.9211897
ABHD1,ABHD1,0.92116815
ATF6B,ATF6B,0.92116076
RBCK1,RBCK1,0.9211354
PTPN2,PTPN2,0.92113006
PWWP3A,PWWP3A,0.9211203
SMARCAL1,SMARCAL1,0.92111474
TREH,TREH,0.9210764
ODAD2,ODAD2,0.9210621
ZGRF1,ZGRF1,0.9210501
ZFYVE19,ZFYVE19,0.92104805
C3,C3,0.9210315
NACC1,NACC1,0.9210203
KLK3,KLK1,0.9210133
LEPROTL1,LEPROT,0.9209582
INTS8,INTS8,0.92092633
LMNTD2,LMNTD2,0.92091066
VAMP1,VAMP2,0.9208989
ARHGEF35,TACC2,0.92087406
SPOCD1,SPOCD1,0.92077774
SPATA3,SPATA3,0.9207775
SPNS3,SPNS3,0.92077196
CRTAM,CRTAM,0.9207647
MMRN2,MMRN2,0.9207589
AZIN2,AZIN2,0.92075294
RAD18,RAD18,0.9207217
DEFB125,DEFB125,0.92071587
UBAC2,UBAC2,0.92069143
USP11,USP11,0.9206887
ZNF280D,ZNF532,0.9206886
VMO1,VMO1,0.9206818
RANGAP1,RANGAP1,0.9206709
TNFRSF13B,TNFRSF13B,0.9206565
SQSTM1,SQSTM1,0.9206301
AP5Z1,AP5Z1,0.92060614
ASRGL1,ASRGL1,0.92060375
TAMM41,TAMM41,0.9205825
CEL,CEL,0.9205437
ZFYVE16,ZFYVE16,0.920537
KPNA3,KPNA3,0.92053115
EGR3,EGR3,0.920529
ECSIT,ECSIT,0.92052007
PRKAG1,PRKAG1,0.9205162
KLHL22,KLHL22,0.92049646
REV1,REV1,0.9204483
DEPDC1,DEPDC1,0.9204367
NDUFA9,NDUFA9,0.9204242
SPATS1,SPATS1,0.9203767
SPAG8,SPAG8,0.9203473
CCDC61,CCDC61,0.9203339
TAGAP,TAGAP,0.92031664
CALML5,CALML5,0.92029697
CSTF3,CSTF3,0.9202732
SLC22A16,SLC22A16,0.920258
HAUS7,HAUS7,0.92025715
TCIRG1,TCIRG1,0.92023945
HAUS3,POLN,0.920231
SF3A2,SF3A2,0.9202111
DHX57,DHX57,0.92020476
TNFRSF1B,TNFRSF1B,0.92017716
KIAA0408,KIAA0408,0.9201414
NOP10,NOP10,0.92013246
VXN,VXN,0.9200777
C1S,C1S,0.9200732
KCNC1,KCNC1,0.92002976
ZC3H12A,ZC3H12A,0.92002803
ALG12,ALG12,0.92002106
BCL10,BCL10,0.92001384
BTNL2,BTNL2,0.92000866
PLXNB2,PLXNB2,0.91991454
ABI2,ABI2,0.9199093
ATG16L2,ATG16L2,0.91988504
SEC14L6,SEC14L4,0.9198819
DDX18,DDX18,0.9198783
MARCOL,MARCOL,0.9198627
GSDME,GSDME,0.9198562
ISCA2,ISCA2,0.9198546
TFDP2,TFDP2,0.9198194
CYP11A1,CYP11A1,0.9197939
RELA,RELA,0.9197816
GRSF1,GRSF1,0.91977125
LRIF1,LRIF1,0.91976494
ACTN3,ACTN3,0.91973424
COBLL1,COBLL1,0.9197185
EMCN,EMCN,0.91966724
IP6K3,IP6K3,0.91964406
ACAD10,ACAD10,0.9196392
KATNB1,KATNB1,0.9196248
HAP1,HAP1,0.9195851
G2E3,G2E3,0.91956836
P4HA2,P4HA2,0.9195614
RPL3L,RPL3L,0.91956085
KIAA0040,KIAA0040,0.919558
SLC41A3,SLC41A3,0.9195473
PPM1F,PPM1F,0.91952896
GPD1,GPD1,0.91952103
FRS3,FRS3,0.9195179
STAB1,STAB1,0.9195083
STARD9,CLMN,0.9195022
MPPED2,MPPED2,0.91947144
EDARADD,EDARADD,0.91946805
NOTCH2NLR,NOTCH2,0.9194589
KLHL23,KLHL23,0.91945696
VWA5B1,VWA5B1,0.9194506
SGMS2,SGMS2,0.9194434
PHACTR4,PHACTR4,0.9194386
CRYBG2,CRYBG2,0.9194302
RAB17,RAB17,0.9194121
SYNJ2BP,SYNJ2BP,0.91938084
CD47,CD47,0.91936135
ELL3,ELL3,0.91935194
EEF1D,EEF1D,0.9193091
APTX,APTX,0.91930705
FAM227A,FAM227A,0.9193018
RFC1,RFC1,0.91929686
RPL27A,RPL27A,0.91929424
FASTKD3,FASTKD3,0.91927695
SDR39U1,SDR39U1,0.91926956
MRPL34,MRPL34,0.9192682
PARP15,PARP9,0.919248
UTP15,UTP15,0.91924465
RNF157,RNF157,0.91923577
ADAM32,ADAM32,0.91921514
TERT,TERT,0.919205
ELOVL5,ELOVL5,0.91916186
BBOF1,BBOF1,0.9191589
LARS2,LARS2,0.9191578
ILF3,ILF3,0.91915643
MESP2,MESP2,0.9191342
ADAM18,ADAM18,0.9190835
GAB2,GAB2,0.91904587
MEX3B,MEX3B,0.91904205
ARHGAP28,ARHGAP28,0.9190414
HELZ2,HELZ2,0.9190323
EPS8L3,EPS8L3,0.9190289
BRDT,BRDT,0.9190205
LRRK2,LRRK2,0.919002
C6orf120,C6orf120,0.9189788
NUDCD1,NUDCD1,0.91895974
ZNF837,ZNF623,0.91894543
MTFR1L,MTFR1L,0.9188991
CNTN1,CNTN1,0.9188974
HFM1,C1orf141,0.91884816
LRRK1,LRRK1,0.9188404
CNBD1,CNBD1,0.91882885
MLST8,MLST8,0.9188279
DCDC2,DCDC2,0.9188227
ACACA,NXPE3,0.91881156
RAB11FIP3,RAB11FIP3,0.91877556
FAM47E,FAM47E,0.91876847
CDCA7L,CDCA7L,0.91873795
IFT43,IFT43,0.91869134
FAM234A,FAM234A,0.9186552
MANF,MANF,0.91864055
SEMA4F,SEMA4F,0.91863906
BLZF1,BLZF1,0.9186245
RABL6,DYNC1LI2,0.9186145
CLN6,CLN6,0.91861427
RPAP1,RPAP1,0.9185992
SLC2A14,SLC2A2,0.91859037
FEZ1,FEZ1,0.91857773
FAM89B,FAM89B,0.91856885
ENGASE,ENGASE,0.9185579
SERHL2,SERHL2,0.9185434
MSRB2,MSRB2,0.9185346
MPP3,MPP3,0.91853154
IL7,IL7,0.9185092
CASC3,CASC3,0.9184874
CCNB1IP1,CCNB1IP1,0.9184874
FAM131B,FAM131B,0.9184836
ADAM29,ADAM29,0.9184789
BBS7,BBS7,0.91844535
DCAF8,DCAF8,0.91844517
AP3S2,AP3S2,0.918428
YTHDF1,YTHDF1,0.9184128
VWA3A,VWA3A,0.91839254
ZBTB9,ZBTB9,0.9183752
PHYKPL,PHYKPL,0.9183647
COL4A1,COL4A4,0.918341
BTBD7,BTBD7,0.9183358
AMOTL1,AMOTL1,0.91830873
KATNAL1,KATNAL1,0.9182848
DEFB121,DEFB121,0.9182824
FGD6,FGD6,0.9182591
TRIM16,TRIM16,0.9182413
PRKCG,PRKCG,0.91823125
MTUS2,MTUS2,0.9182279
ANGPTL4,ANGPTL4,0.9182172
SH3BP2,SH3BP2,0.9181917
TMTC3,TMTC3,0.91818196
YY2,YY1,0.9181813
FOSL1,FOSL1,0.91816324
SHOC1,SHOC1,0.9181332
GPX1,GPX1,0.91811055
CAPN1,CAPN1,0.9181081
DHX8,DHX8,0.918101
GINM1,GINM1,0.91807926
GAB1,GAB1,0.9180673
C1orf112,FIRRM,0.9180326
TYRO3,TYRO3,0.91802675
MACROH2A2,MACROH2A2,0.91799116
PYROXD1,PYROXD1,0.9179849
POLG2,POLG2,0.9179732
WDR49,WDR49,0.917936
RPS18,RPS18,0.9179284
FHIP2A,FHIP2A,0.91792077
BCL6B,BCL6B,0.917919
NUP107,NUP107,0.9179053
CLN5,CLN5,0.9178921
NLRP1,NLRP5,0.9178585
ARL13A,ARL13A,0.91783714
FHIT,FHIT,0.91774446
AP2A1,AP2A1,0.91773635
TPP2,TPP2,0.9177298
TRAV17,TRAV6,0.9177254
BRD7,BRD7,0.91771376
MFRP,MFRP,0.9176743
ATE1,ATE1,0.9175784
SNCG,SNCG,0.9175447
NUBPL,NUBPL,0.9175386
CCNE2,CCNE2,0.917533
SPIDR,SPIDR,0.9174946
PXYLP1,PXYLP1,0.9174923
ATXN7L1,ATXN7L1,0.9174709
CREBRF,CREBRF,0.9174673
RPTOR,RPTOR,0.91745406
MED21,MED21,0.91745085
CDK7,CDK7,0.9174101
RASGEF1B,RASGEF1B,0.91739184
SIK3,SIK3,0.9173487
PTPN9,PTPN9,0.91733783
H3-3B,H3-3A,0.9173208
CDK14,CDK17,0.91730493
DHX29,DHX29,0.91730285
DNAAF3,DNAAF3,0.91728574
HOXA6,HOXC10,0.91727066
LRRC43,LRRC43,0.9172399
C6,C6,0.91722345
FAF2,FAF2,0.9171816
ZNF491,ZNF772,0.9171803
CHD6,CHD6,0.9171784
DALRD3,DALRD3,0.9171701
HEATR5A,HEATR5B,0.91716725
TRPV3,TRPV3,0.91715956
TEX2,TEX2,0.9171501
ATG16L1,ATG16L1,0.9171385
CLPX,CLPX,0.9171221
DAGLA,DAGLA,0.9170637
PTS,PTS,0.9170525
ERICH6,ERICH6,0.9170491
NME3,NME3,0.9170479
SHMT1,SHMT1,0.917012
SLC25A32,SLC25A32,0.91699845
BCAR1,BCAR1,0.9169474
IL4,IL4,0.91694665
DNAJC17,DNAJC17,0.9169423
INIP,INIP,0.916913
TTI1,TTI1,0.91690725
ARMC6,ARMC6,0.91688854
SMAD3,SMAD3,0.9168881
QRICH2,QRICH2,0.91688347
ZNF710,ZNF710,0.91687745
RIPK3,RIPK3,0.9168582
UTS2B,UTS2B,0.91684127
EPN1,EPN1,0.9168361
EEF1AKMT2,EEF1AKMT2,0.9168288
SDHD,SDHD,0.9168146
PIK3R2,PIK3R2,0.9168121
AIMP2,AIMP2,0.91680384
SLC7A13,SLC7A13,0.916785
GEMIN8,GEMIN8,0.9167723
ENOPH1,ENOPH1,0.9167721
CCDC39,CCDC39,0.91676646
BECN1,BECN1,0.91675645
CALY,CALY,0.9167309
RGMA,RGMA,0.9167208
KLHL33,KLHL33,0.91670674
PDIA5,PDIA5,0.91669613
NR1H2,NR1H2,0.91666526
CHRAC1,CHRAC1,0.9166652
FDCSP,FDCSP,0.9166408
MMP15,MMP15,0.9166119
SLCO6A1,SLCO6A1,0.9165996
SLC25A1,SLC25A1,0.9165963
COX16,COX16,0.9165909
HYOU1,HYOU1,0.9165867
PSD2,PSD2,0.9165792
PRR11,PRR11,0.91654426
TPK1,TPK1,0.9165261
GPR19,GPR19,0.916499
LACC1,LACC1,0.9164573
UAP1L1,UAP1L1,0.9164095
NUP88,NUP88,0.91638505
NAA11,NAA11,0.9163556
TSG101,VPS28,0.9163494
C1orf105,C5orf52,0.9163223
SPINK4,SPINK4,0.91631836
RASGRP3,RASGRP3,0.9163132
EXOC2,EXOC2,0.9162608
PIANP,PIANP,0.9162548
SLC25A17,SLC25A17,0.91624796
EMX1,HOXA10,0.91623807
TK2,TK2,0.9161516
PABPN1L,PABPN1L,0.9161509
CKAP5,CKAP5,0.91613317
THAP2,THAP2,0.91612726
TRAPPC14,TRAPPC14,0.9161035
DAPK2,DAPK3,0.9160934
SMTN,SMTN,0.9160488
CTR9,CTR9,0.91604763
PLCG1,PLCG1,0.9160278
CREB3L2,CREB3L2,0.9160245
ABHD14A,ABHD14A,0.9160163
MSR1,MSR1,0.9160153
SPC25,SPC25,0.91599
SHD,SHD,0.9159788
ARMCX6,ARMCX6,0.9159596
C16orf86,C1orf174,0.91593903
SUMO3,SUMO3,0.9159175
USP1,USP1,0.91590846
TEKT2,TEKT2,0.91589075
DNAAF1,DNAAF1,0.91588956
PAK6,PAK6,0.91586226
PPP1R21,PPP1R21,0.9158586
GFM1,GFM1,0.91582894
TAF15,TAF15,0.91582793
RSAD1,RSAD1,0.9158216
XXYLT1,XXYLT1,0.9158205
ABHD18,ABHD18,0.9158092
RARRES1,RARRES1,0.91578364
PSORS1C1,TMEM31,0.91577953
BCL2L14,BCL2L14,0.91577506
CD24,CD24,0.9157523
TRIM8,TRIM8,0.915739
SLC6A19,SLC6A19,0.9157151
DNAJC1,DNAJC1,0.9156963
POLH,POLH,0.91567373
FAM217B,FAM217B,0.9156438
FARS2,FARS2,0.9156271
SDC1,SDC1,0.9156226
KIAA0319L,KIAA0319L,0.915597
PPIL3,PPIL3,0.91556996
MAD2L2,MAD2L2,0.91552705
CD82,CD82,0.9155059
AKT2,AKT2,0.91549826
KIAA1755,KIAA1755,0.9154962
SLC43A3,SLC43A3,0.91549146
NPDC1,NPDC1,0.9154824
ATP13A5,ATP13A5,0.9154683
CCNK,CCNK,0.91545725
RET,RET,0.91544604
FAM126B,HYCC2,0.91544473
C5orf51,RIMOC1,0.91543144
FRMD1,FRMD1,0.9154142
TMC6,TMC6,0.9153658
SUV39H2,SUV39H2,0.9153652
TAF5,TAF5,0.91533554
ZMYM4,ZMYM4,0.91533405
SCAF1,SCAF1,0.91533214
ZNF35,ZNF35,0.9153188
TRANK1,TRANK1,0.9152948
PFKFB4,PFKFB4,0.9152872
SHLD1,SHLD1,0.9152426
SOS2,SOS2,0.9152322
AOX1,AOX1,0.9152271
SMC4,SMC4,0.9152049
AKAP6,AKAP6,0.9151428
CA4,CA4,0.91511387
LUZP2,LUZP2,0.9151095
GSTT4,GSTT4,0.9150749
REX1BD,REX1BD,0.91505444
PRRT1,PRRT1,0.9150419
RIC8A,RIC8A,0.9149674
FMO3,FMO3,0.91496664
PPP1R12B,PPP1R12B,0.914954
ATL1,ATL1,0.9149386
CDPF1,CDPF1,0.9149366
SNAPC2,SNAPC2,0.91493255
CIAO2B,CIAO2B,0.9149254
SMARCC2,SMARCC2,0.91492283
EIF3F,EIF3F,0.9149184
CD226,CD226,0.9149146
ACSF3,ACSF3,0.91490906
ACACB,ACACB,0.9149034
DHX38,DHX38,0.9148925
HDHD2,HDHD2,0.9148696
FKBP7,FKBP7,0.9147979
MAPK15,MAPK15,0.914797
C2orf74,C2orf74,0.9147969
CYP27A1,CYP27A1,0.91478705
C1QTNF6,C1QTNF6,0.91476524
IQCJ-SCHIP1,SCHIP1,0.9147108
SLC2A5,SLC2A5,0.9147104
LYPLA2,LYPLA2,0.91468626
ACYP2,ACYP2,0.914633
STAG1,STAG1,0.9146319
CYB5R4,CYB5R4,0.91462815
ARMH3,ARMH3,0.9146256
GFI1B,GFI1B,0.91459996
TPGS2,TPGS2,0.9145997
EXOC3L4,EXOC3L4,0.91459566
ATF7IP,ATF7IP,0.91458786
CHTF18,CHTF18,0.914553
RNF112,RNF112,0.9145041
EXOG,EXOG,0.91447294
CREG1,CREG1,0.91447234
PRKD2,PRKD2,0.91445714
COX7B2,COX7B2,0.91443115
THRA,THRA,0.91442275
NELFA,NELFA,0.91442
IKZF4,IKZF4,0.91440034
PPCS,PPCS,0.91437185
LOXL2,LOXL2,0.9143583
UBE2W,UBE2W,0.9143286
LARP4,LARP4,0.9143251
SNX1,SNX1,0.9143106
TREM1,TREM1,0.91425467
DNAH3,DNAH1,0.91421235
HEG1,HEG1,0.91420287
CFAP97,CFAP97,0.914192
POLR2B,POLR2B,0.9141876
AAMDC,AAMDC,0.9141682
ADAMTS6,ADAMTS12,0.9141223
RAD23B,RAD23B,0.9141044
MTHFD1L,MTHFD1L,0.9140934
GCDH,GCDH,0.91409224
TOM1,TOM1,0.91406965
ALDH7A1,ALDH7A1,0.91406864
DUOXA1,DUOXA1,0.9140212
DHODH,DHODH,0.91402024
MSI2,MSI1,0.9140118
NOP16,NOP16,0.91397876
JUP,JUP,0.9139733
SEL1L,SEL1L,0.9139716
TMIGD2,TMIGD2,0.9139495
GABRP,GABRP,0.9139461
DNAJC12,DNAJC12,0.9139116
NHSL1,NHSL1,0.9139002
SAMD5,SAMD5,0.913887
EFCAB5,EFCAB5,0.9138742
SLC7A6OS,SLC7A6OS,0.91385645
LSG1,LSG1,0.91384864
SWT1,SWT1,0.9138327
ARMCX2,ARMCX2,0.9138243
RELB,RELB,0.9138073
MGME1,MGME1,0.91379756
CCDC173,CFAP210,0.9137836
FXN,FXN,0.91374636
RFC2,RFC2,0.9137264
EI24,EI24,0.91372484
FTCD,FTCD,0.9137038
RUSF1,RUSF1,0.9136914
TPST1,TPST1,0.91368496
RPL7L1,RPL7L1,0.91363615
ANKRD37,ANKRD37,0.9136057
BLOC1S1,BLOC1S1,0.91360104
STK3,STK3,0.91359526
MLH3,MLH3,0.9135916
PPM1K,PPM1K,0.913585
SPRY1,SPRY1,0.9135605
OXNAD1,OXNAD1,0.9135558
PDLIM3,PDLIM3,0.91354626
PGPEP1L,PGPEP1,0.91352427
GRAMD1C,GRAMD1C,0.91350615
TNNI3K,TNNI3K,0.9134816
HIRA,HIRA,0.91347307
AGAP4,AGAP1,0.9134162
MYO7A,MYO7A,0.91340876
DTX2,DTX2,0.9134051
SLC39A14,SLC39A14,0.9133793
SMCP,SMCP,0.9133759
PML,PML,0.91337454
NBAS,NBAS,0.91336673
VSTM2L,VSTM2L,0.91335577
MED13,MED13,0.9132936
ADGRF1,ADGRF1,0.9132838
ARSB,ARSB,0.9132775
TRMT6,TRMT6,0.9132413
CCL1,CCL1,0.9131901
CATSPERE,CATSPERE,0.9131731
DYM,DYM,0.913153
RHBDD3,RHBDD3,0.91313726
UTS2,UTS2,0.9131219
FAM135B,FAM135B,0.9130637
HNF4A,HNF4A,0.9130622
PHF14,PHF14,0.9129835
UCHL1,UCHL1,0.91292024
COMMD3,COMMD3,0.9129185
ARMH1,ARMH1,0.91289353
RALBP1,RALBP1,0.91282845
ADCY10,ADCY10,0.91281193
CCDC3,CCDC3,0.9128038
FNDC3B,FNDC3B,0.91278636
APCDD1L,APCDD1L,0.9127267
RLN1,INSL6,0.91271704
TBX15,TBX18,0.9126913
NUAK1,NUAK1,0.912677
KASH5,KASH5,0.91266096
RRBP1,RRBP1,0.9126427
PKD2L2,PKD2L2,0.912626
IVD,IVD,0.91261595
DDX55,DDX55,0.9125611
PTK7,PTK7,0.9125565
MBD2,MECP2,0.91253906
HOATZ,HOATZ,0.9125219
ACE,ACE,0.9124587
ADAMTSL5,ADAMTSL5,0.9124552
IL20RB,ITGAD,0.9124499
GCA,GCA,0.91243106
C5orf34,C5orf34,0.9124137
SRR,SRR,0.91240567
IFI44L,IFI44,0.9123976
PRSS16,PRSS16,0.912382
GTF2E2,GTF2E2,0.9123762
TMEM223,TMEM223,0.91236854
NCAPH2,NCAPH2,0.9123655
BTNL8,ERMAP,0.91236436
GNB3,GNB1,0.91235834
NIFK,NIFK,0.91233426
HOOK2,HOOK2,0.912325
OTUD4,OTUD4,0.91231257
SYT6,SYT6,0.9122993
COPRS,COPRS,0.9122976
NMNAT3,NMNAT3,0.91229707
COX19,COX19,0.91229415
FOXK1,FOXK1,0.91226965
CS,CS,0.9122478
BAD,BAD,0.91219
ART4,ART4,0.91215074
IZUMO2,IZUMO2,0.9121465
CSN1S1,CSN1S1,0.91213936
GK5,GK5,0.9120909
NADK,NADK,0.9120464
APOA2,APOA2,0.912014
CHAC1,CHAC1,0.9119886
ETNK1,ETNK1,0.9119653
HHATL,HHATL,0.91193193
PGAP3,PGAP3,0.91193074
SEC23IP,SEC23IP,0.911921
RAB8B,RAB8B,0.91188186
PRKCE,PRKCE,0.91185486
KLHDC1,KLHDC1,0.9118274
LZTS2,LZTS2,0.9118225
SGSM3,SGSM3,0.9117316
NUDC,NUDC,0.9117045
NDUFC1,NDUFC1,0.9116868
PKP4,PKP4,0.9116843
FAAP100,FAAP100,0.91157746
ECHDC3,ECHDC3,0.911548
DMWD,DMWD,0.9115083
PXMP2,PXMP2,0.91145504
USP36,USP36,0.9114503
ARMC2,ARMC2,0.91144747
SYT5,SYT5,0.9113966
GNAT1,GNAT1,0.9113771
UGGT2,UGGT2,0.9113753
EDF1,EDF1,0.91135246
TANK,TANK,0.91131175
DHTKD1,DHTKD1,0.9113025
NMNAT1,NMNAT1,0.91128796
SNTB1,SNTB2,0.9112693
DLST,DLST,0.9112272
EAF2,EAF2,0.91117805
DARS1,DARS1,0.91117173
NOCT,NOCT,0.9111552
METTL21A,METTL21A,0.9110725
RAD54B,RAD54B,0.9110637
CALB1,CALB1,0.91104096
MRPL36,MRPL36,0.9110407
IFI6,IFI6,0.91102844
RAB18,RAB18,0.9110136
NME8,NME8,0.91096497
ESPN,ESPN,0.91092217
DEF6,DEF6,0.9109177
ABCC6,ABCC6,0.9109022
DNAH17,DNAH10,0.91089004
TRIM35,TRIM35,0.91088945
KIR2DS5,FCAR,0.91088694
OTX1,OTX1,0.91086185
NWD2,NWD2,0.9108242
GIT1,GIT1,0.91082394
EIF4G2,EIF4G2,0.91079235
FAM83E,FAM83E,0.9107785
CALHM4,CALHM4,0.91075486
C2orf16,SPATA31G1,0.9107491
FIG4,FIG4,0.91074663
CD58,CD58,0.91073996
SLC4A2,SLC4A2,0.9107384
TMEM176A,TMEM176A,0.91071486
ANKLE2,ANKLE2,0.910684
SLC9A5,SLC9A5,0.9106764
MYCBP,MYCBP,0.9106707
ANGPTL8,ANGPTL8,0.91063654
FAM114A2,FAM114A2,0.9106207
MRE11,MRE11,0.9106106
GRM3,GRM3,0.9105965
CTSO,CTSO,0.910589
MOB1B,MOB3B,0.9105849
CFAP161,CFAP161,0.9105663
