Gene name,Human gene name
CUL4A,CUL4A
NWD1,NWD1
ACAD10,ACAD10
STK24,STK24
UPP1,UPP1
ALDH16A1,ALDH16A1
SDS,SDS
U1,RNU1-109P
NFU1,NFU1
TP53INP2,TP53INP2
GABPB2,GABPB2
SAMD4B,SAMD4B
SLC4A1AP,SLC4A1AP
TGS1,TGS1
Y_RNA,Y_RNA
NSMCE1,NSMCE1
IL17RC,IL17RC
CUEDC1,CUEDC1
WASHC4,WASHC4
Y_RNA,Y_RNA
ARHGAP4,ARHGAP4
Y_RNA,Y_RNA
Y_RNA,Y_RNA
ERMP1,ERMP1
CCDC124,CCDC124
FAM9B,FAM9B
EMC8,EMC8
KLF17,KLF17
NLRC5,NLRC5
SCN3A,SCN3A
MDGA2,MDGA2
U6,RNU6-855P
MYOZ2,MYOZ2
PHB1,PHB1
LIPJ,LIPJ
SLC25A25,SLC25A25
KCNU1,KCNU1
TMEM229A,TMEM229A
HNRNPK,HNRNPK
EN1,EN1
TOMM40,TOMM40
MACIR,MACIR
OR1F1,OR1F1
CCP110,CCP110
CDC20B,CDC20B
POLD2,POLD2
SPAG9,SPAG9
Y_RNA,Y_RNA
U6,RNU6-710P
ZNF556,ZNF556
ADCYAP1,ADCYAP1
DDX10,DDX10
ROR1,ROR1
ZDHHC15,ZDHHC15
ZNF629,ZNF629
WASF3,WASF3
USP44,USP44
SUPT7L,SUPT7L
TSPAN6,SYTL4
ZNF532,ZNF532
U4,RNU4-13P
FCHSD2,FCHSD2
TSPO,TSPO
H2AJ,H2AJ
METTL16,METTL16
GEMIN8,GEMIN8
NOB1,NOB1
SOS1,SOS1
WDR25,WDR25
RLN3,RLN3
U6,RNU6-997P
TM7SF3,TM7SF3
KCNN1,KCNN1
ZNF77,ZNF77
TNFAIP6,TNFAIP6
ABCA7,ABCA7
CISD2,CISD2
COA5,COA5
CMTR2,CMTR2
DZANK1,DZANK1
NCOA6,NCOA6
ZNF93,ZNF93
DIXDC1,DIXDC1
Metazoa_SRP,RN7SL479P
C3H7orf57,C7orf57
WNT6,WNT6
MIR5047,MIR5047
ZNF652,ZNF652
DSC3,DSC3
ZNF200,ZNF200
RSPO4,RSPO4
ROCK1,ROCK1
GNAO1,GNAO1
RAB27B,RAB27B
USPL1,USPL1
U6,RNU6-102P
GABRG2,GABRG2
MCTS1,MCTS1
Metazoa_SRP,RN7SL259P
NAPSA,NAPSA
ULK2,ULK2
Y_RNA,Y_RNA
UGCG,UGCG
NCAPH,NCAPH
BEGAIN,BEGAIN
AKAP5,AKAP5
GTDC1,GTDC1
PAFAH1B1,PAFAH1B1
CEP95,CEP95
Metazoa_SRP,RN7SL181P
CEACAM4,CEACAM4
YPEL2,YPEL2
WBP11,WBP11
GPR37,GPR37
TMDD1,TMDD1
MCAT,MCAT
UXT,UXT
URI1,URI1
SNORD61,SNORD61
NOL7,NOL7
RTN4IP1,RTN4IP1
U6,RNU6-436P
U1,RNU1-103P
Metazoa_SRP,Metazoa_SRP
SNX32,SNX32
MRNIP,MRNIP
SNORD14,SNORD14D
MFF,MFF
CHRM1,CHRM1
NOXO1,NOXO1
SNORA50B,SNORA50B
UNC50,UNC50
MIPEP,MIPEP
LIPF,LIPF
SLC9B1,SLC9B1
PHKB,PHKB
MRPS23,MRPS23
IL27RA,IL27RA
Metazoa_SRP,Metazoa_SRP
SNORD14,SNORD14C
SORBS1,SORBS1
RAB14,RAB14
ACD,ACD
TMEM31,TMEM31
EIF4EBP3,ANKHD1
MIR3666,MIR3666
FAM13C,FAM13C
ANGPT4,ANGPT4
HYDIN,HYDIN
COX4I1,COX4I1
ANKS3,ANKS3
MEFV,MEFV
MIER2,MIER2
DNA2,DNA2
REST,REST
CDH7,CDH7
CLMP,CLMP
BBS10,BBS10
NUDT12,NUDT12
SLC3A2,SLC3A2
Metazoa_SRP,RN7SL566P
NAIF1,NAIF1
NRIP3,NRIP3
ZBTB25,ZBTB25
ANKRD33,ANKRD33
PARD6A,PARD6A
TLE6,TLE6
PAF1,PAF1
WNT10A,WNT10A
Y_RNA,Y_RNA
USP53,USP53
IDO1,IDO1
SUN3,SUN3
TBC1D9B,TBC1D9B
GFER,GFER
PLP1,PLP1
PEX16,PEX16
GPN1,GPN1
RIC1,RIC1
GDPD1,GDPD1
PEX11G,PEX11G
APOE,APOE
BIK,BIK
FLT3LG,FLT3LG
INSIG2,INSIG2
NR1H2,NR1H2
GALK2,GALK2
GPX8,GPX8
IL4R,IL4R
Y_RNA,Y_RNA
GPR101,GPR101
LIPK,LIPK
FOXK2,FOXK2
ZNF507,ZNF507
OSBPL8,OSBPL8
U6,RNU6-1282P
SPINK2,SPINK2
MTHFD2,MTHFD2
GLRA2,GLRA2
Metazoa_SRP,RN7SL60P
SIN3B,SIN3B
ACVRL1,ACVRL1
ZNF81,ZNF81
U6,RNU6-932P
CDK5R2,CDK5R2
ENTR1,ENTR1
DNAAF9,DNAAF9
KSR1,KSR1
U2,RNU2-69P
FDXR,FDXR
NTN4,NTN4
ARHGAP45,ARHGAP45
CYHR1,ZFTRAF1
C1GALT1C1,C1GALT1C1
Y_RNA,Y_RNA
FAM110A,FAM110A
POT1,POT1
ZNF846,ZNF846
CEACAM7,CEACAM7
DYNAP,DYNAP
EFNB2,EFNB2
Metazoa_SRP,RN7SL124P
FEV,FEV
MGAT4A,MGAT4A
SYNGR3,SYNGR3
Metazoa_SRP,Metazoa_SRP
SUV39H2,SUV39H2
ENKD1,ENKD1
Metazoa_SRP,RN7SL357P
TTLL1,TTLL1
SLC15A1,SLC15A1
SENP1,SENP1
METTL4,METTL4
LYN,LYN
CNTRL,CNTRL
SYN3,SYN3
ZNF263,ZNF263
LAMP1,LAMP1
DNAAF8,DNAAF8
Metazoa_SRP,RN7SL840P
SLC52A1,SLC52A1
SIRT5,SIRT5
PGM1,PGM1
mml-mir-449a,MIR449A
OVOL1,OVOL1
U6,RNU6-805P
TLE2,TLE2
TUBA1C,TUBA1C
DACH1,DACH1
U6,RNU6-654P
CCDC121,CCDC121
U8,U8
SDSL,SDSL
TMEM9B,TMEM9B
SLA,SLA
SLC52A3,SLC52A3
SAXO5,SAXO5
APOC1,APOC1
CRYBA2,CRYBA2
DUSP4,DUSP4
DNAJB12,DNAJB12
ARGLU1,ARGLU1
U8,U8
EEIG1,EEIG1
U6,RNU6-1013P
MAGEE2,MAGEE2
PHOSPHO1,PHOSPHO1
MRGPRG,MRGPRG
LIPN,LIPN
ZIC3,ZIC3
U6,RNU6-882P
AMELY,AMELY
AMFR,AMFR
GOT2,GOT2
U6,RNU6-219P
Y_RNA,Y_RNA
mml-mir-449b,MIR449B
NSMCE4A,NSMCE4A
U1,RNU1-140P
ZNF182,ZNF182
IDO2,IDO2
U6,RNU6-1078P
DYNLRB2,DYNLRB2
RASSF9,RASSF9
SMG8,SMG8
FBXL12,FBXL12
AP5B1,AP5B1
KIFC2,KIFC2
U6,RNU6-297P
PIEZO1,PIEZO1
APOC4,APOC4
RAPGEF1,RAPGEF1
RTL5,RTL5
GRAMD1B,GRAMD1B
CCDC182,CCDC182
ZNF512,ZNF512
ZNF598,ZNF598
SHOC1,SHOC1
CTF1,CTF1
SMCO3,SMCO3
ZNF582,ZNF582
DLK1,DLK1
RBM42,RBM42
LCP1,LCP1
CRELD1,CRELD1
Metazoa_SRP,RN7SL325P
PALM3,PALM3
PINLYP,PINLYP
GPR12,GPR12
U7,RNU7-134P
TIMP3,TIMP3
PIN4,PIN4
NTS,NTS
U6,RNU6-985P
PHYHIPL,PHYHIPL
ZFP3,ZFP3
C11H12orf60,C12orf60
C18H18orf54,C18orf54
POLD1,POLD1
ZNF682,ZNF682
NADSYN1,NADSYN1
ZNF500,ZNF500
ABI3,ABI3
WWP2,WWP2
STRN,STRN
APOC2,APOC2
LHX5,LHX5
OTOS,OTOS
PBDC1,PBDC1
MED21,MED21
ACVR1B,ACVR1B
TM4SF20,TM4SF20
UBL5,UBL5
RIMS2,RIMS2
ZNF583,ZNF583
U6,RNU6-857P
MIR375,MIR375
ART4,ART4
C14H11orf87,C11orf87
SNORD26,SNORD26
Metazoa_SRP,RN7SL388P
SPANXN4,SPANXN4
MSI2,MSI2
FBXL19,FBXL19
SNORD27,SNORD27
Y_RNA,Y_RNA
GFPT1,GFPT1
MGAT4C,MGAT4C
NEURL3,NEURL3
MCIDAS,MCIDAS
USH1G,USH1G
HNF1B,HNF1B
F2RL3,F2RL3
ERCC6L,ERCC6L
SNORD15,SNORD15A
ROPN1,ROPN1
SNORD28,SNORD28
ALOX5AP,ALOX5AP
ARRDC2,ARRDC2
ACTL7A,ACTL7A
CFAP65,CFAP65
IRF8,IRF8
SEPTIN12,SEPTIN12
UPP2,UPP2
SCIMP,SCIMP
U6,RNU6-1155P
TBL1Y,TBL1Y
Metazoa_SRP,RN7SL307P
IRGQ,IRGQ
SNORD15,SNORD15B
U6,RNU6-247P
SNORD33,SNORD32A
Metazoa_SRP,RN7SL37P
MED29,MED29
SNORD22,SNORD22
MALT1,MALT1
MYL6B,MYL6B
KCNMB4,KCNMB4
MGP,MGP
ACTL7B,ACTL7B
Metazoa_SRP,RN7SL143P
ZNF358,ZNF358
Metazoa_SRP,RN7SL219P
Metazoa_SRP,RN7SL823P
SNORD29,SNORD29
SNORD33,SNORD33
FAM227B,FAM227B
KLHL35,KLHL35
FHOD3,FHOD3
SCRT2,SCRT2
MISP3,MISP3
Metazoa_SRP,Metazoa_SRP
TBL1X,TBL1X
OTOP2,OTOP2
CDC42SE1,CDC42SE1
U4,RNU4-84P
PRPH,PRPH
RPRML,RPRML
NPW,NPW
SNORD34,SNORD34
DCLRE1C,DCLRE1C
SNORA1B,SNORA1B
USP12,USP12
SNORD30,SNORD30
PRR11,PRR11
CPAMD8,CPAMD8
NRXN1,NRXN1
AMDHD1,AMDHD1
U3,U3
ABCA9,ABCA9
Metazoa_SRP,RN7SL111P
SNORD35A,SNORD35A
FOXH1,FOXH1
SLC9B2,SLC9B2
C20H16orf86,C16orf86
CRACDL,CRACDL
MFSD13A,MFSD13A
MAPK8IP1,MAPK8IP1
TESC,TESC
U6,RNU6-1218P
ZNF536,ZNF536
AGFG1,AGFG1
DDIT4,DDIT4
PIN1,PIN1
ZNF576,ZNF576
Metazoa_SRP,RN7SL798P
TSPAN31,TSPAN31
RPS11,RPS11
PDZD7,PDZD7
ZC3H12C,ZC3H12C
SRXN1,SRXN1
CDK15,CDK15
CCDC14,CCDC14
U3,U3
CKMT2,CKMT2
NHERF2,NHERF2
RABEP1,RABEP1
ZHX3,ZHX3
GOSR2,GOSR2
CCDC93,CCDC93
CLPTM1,CLPTM1
ZNF667,ZNF667
SPATA31H1,SPATA31H1
Metazoa_SRP,RN7SL323P
USP14,USP14
ARFGAP3,ARFGAP3
KAT5,KAT5
WDR74,WDR74
U6,RNU6-574P
C11H12orf71,C12orf71
MCOLN1,MCOLN1
CDYL2,CDYL2
NUP155,NUP155
C19H19orf67,C19orf67
GPC1,GPC1
Metazoa_SRP,Metazoa_SRP
SARAF,SARAF
ROGDI,ROGDI
NALF1,NALF1
IL12RB1,IL12RB1
Metazoa_SRP,RN7SL50P
BOLA3,BOLA3
B4GALNT2,B4GALNT2
SNAPC4,SNAPC4
CCNO,CCNO
ARID5A,ARID5A
CCT8L2,CCT8L2
GDPD5,GDPD5
U7,RNU7-23P
OTOP3,OTOP3
TCF15,TCF15
ZFP36,ZFP36
IL21R,IL21R
C1H1orf56,C1orf56
U4,RNU4-58P
OR2S2,OR2S2
RAB12,RAB12
GCKR,GCKR
TAMALIN,TAMALIN
SKA2,SKA2
CAPN1,CAPN1
PKD1L1,PKD1L1
U6,RNU6-867P
U3,U3
PDCD1LG2,PDCD1LG2
DPY19L3,DPY19L3
BICC1,BICC1
TACC2,TACC2
LIPM,LIPM
NDC80,NDC80
Metazoa_SRP,RN7SL1
ZNF428,ZNF428
RANBP10,RANBP10
SNORD54,SNORD54
PTPRB,PTPRB
TROAP,TROAP
REEP2,REEP2
FGF7,FGF7
STK38L,STK38L
SNORD31,SNORD31B
ERP27,ERP27
SULF2,SULF2
ETV2,ETV2
HAUS8,HAUS8
ZCCHC9,ZCCHC9
BNIPL,BNIPL
Y_RNA,Y_RNA
FRAS1,FRAS1
OLFM2,OLFM2
NLRP12,NLRP12
MAPKAPK5,MAPKAPK5
SPAAR,SPAAR
CDK4,CDK4
DDX52,DDX52
mml-mir-17,MIR17
FBXO7,FBXO7
CPNE2,CPNE2
Metazoa_SRP,RN7SL659P
MIR18A,MIR18A
PTGR2,PTGR2
COMMD7,COMMD7
MOS,MOS
U7,RNU7-46P
LRR1,LRR1
GRTP1,GRTP1
Y_RNA,Y_RNA
MAGEE1,MAGEE1
PLEKHG2,PLEKHG2
U6,RNU6-1203P
U6,RNU6-1064P
STARD6,STARD6
mml-mir-19a,MIR19A
mml-mir-504,MIR504
HRCT1,HRCT1
FANCB,FANCB
CDH2,CDH2
MEDAG,MEDAG
GRIA3,GRIA3
Y_RNA,Y_RNA
ZNF471,ZNF471
NBEA,NBEA
RAB9B,RAB9B
ANAPC16,ANAPC16
U6,RNU6-440P
MYADM,MYADM
RBM19,RBM19
LIG4,LIG4
TCIM,TCIM
mml-mir-301a,MIR301A
DTHD1,DTHD1
DTWD1,DTWD1
FBXO21,FBXO21
U6,RNU6-607P
PLAG1,PLAG1
CACNA1B,CACNA1B
MRPL22,MRPL22
F9,F9
ZNF708,ZNF708
CADM4,CADM4
OR13J1,OR13J1
GFOD1,GFOD1
NUDT21,NUDT21
NCKAP5,NCKAP5
mml-mir-454,MIR454
POLR2E,POLR2E
LEPROTL1,LEPROTL1
PRKACA,PRKACA
CITED1,HDAC8
TIGD7,TIGD7
GGT7,GGT7
FABP2,FABP2
ARHGDIB,ARHGDIB
HID1,HID1
PFKM,PFKM
DOCK9,DOCK9
mml-mir-92a-1,MIR92A1
TEX26,TEX26
U2,RNU2-58P
TSGA10,TSGA10
DCUN1D2,ADPRHL1
RPL36AL,RPL36AL
ZNF703,ZNF703
U6,RNU6-996P
IHH,IHH
PRKCG,PRKCG
PRUNE1,PRUNE1
BDH2,BDH2
CHCHD7,CHCHD7
MAST3,MAST3
ABHD13,ABHD13
ANKRD22,ANKRD22
POLI,POLI
ORAI3,ORAI3
Y_RNA,Y_RNA
TMEM8B,TMEM8B
MYLK,MYLK
NR4A1,NR4A1
RDX,RDX
U2,RNU2-2P
MTCL1,MTCL1
FZD7,FZD7
RELB,RELB
MGAT2,MGAT2
ACOT12,ACOT12
CALCOCO2,CALCOCO2
TBC1D7,TBC1D7
Srpx2,SRPX2
SNORD102,SNORD102
CDK12,CDK12
GPX4,GPX4
CCN4,CCN4
NOS2,NOS2
C11H12orf50,C12orf50
PDE5A,PDE5A
CCDC38,CCDC38
ZMAT4,ZMAT4
ZFP28,ZFP28
FAM171B,FAM171B
Y_RNA,Y_RNA
TET3,TET3
ASCC1,ASCC1
ERLIN2,ERLIN2
DNAAF2,DNAAF2
NHEJ1,NHEJ1
CENPN,CENPN
XRCC2,XRCC2
SNORA27,SNORA27
CARD9,CARD9
CDH8,CDH8
KIAA2012,KIAA2012
SLC5A11,SLC5A11
CYP24A1,CYP24A1
CLASRP,CLASRP
GTF3C1,GTF3C1
PDE6H,PDE6H
Metazoa_SRP,RN7SL615P
ZNF75A,ZNF75A
Metazoa_SRP,RN7SL309P
RASL11A,RASL11A
SPMAP2,SPMAP2
CCDC148,CCDC148
STX5,STX5
SERPINH1,SERPINH1
TNFSF13B,TNFSF13B
ZNF133,ZNF133
FGF16,FGF16
MOSPD2,MOSPD2
SERPINB8,SERPINB8
TRIM37,TRIM37
U6,RNU6-1081P
Metazoa_SRP,Metazoa_SRP
SCN3B,SCN3B
POLE2,POLE2
MBOAT4,MBOAT4
SMURF2,SMURF2
OGFOD1,OGFOD1
SDR16C5,SDR16C5
H2BW2A,H2BW2
NDRG1,NDRG1
ZNF493,ZNF493
COX6B1,COX6B1
FNDC4,FNDC4
ATP8B4,ATP8B4
RELA,RELA
WNT9B,WNT9B
LPIN3,LPIN3
SLC66A3,SLC66A3
TBC1D20,TBC1D20
DHX29,DHX29
TMC8,TMC8
ABCA6,ABCA6
RLIG1,RLIG1
TBK1,TBK1
Y_RNA,RNY4P14
MCF2,MCF2
PLAUR,PLAUR
SMIM22,SMIM22
DCTN6,DCTN6
THOC1,THOC1
ANKMY1,ANKMY1
Metazoa_SRP,RN7SL608P
C1QL4,C1QL4
AKAP1,AKAP1
SBNO2,SBNO2
RERG,RERG
NWD2,NWD2
GARIN2,GARIN2
Metazoa_SRP,RN7SL845P
U2,RNU2-56P
STAMBPL1,STAMBPL1
Metazoa_SRP,RN7SL14P
GPR143,GPR143
KIF4B,KIF4B
MARCHF9,MARCHF9
DPM2,DPM2
GCSH,GCSH
KANSL3,KANSL3
SNORD116,SNORD116
NTHL1,NTHL1
CLUH,CLUH
H2BW1C,H2BW1
Y_RNA,RNY3P9
Y_RNA,RNY1P1
DNLZ,DNLZ
ACTR1A,ACTR1A
GTF3A,GTF3A
PRRT3,PRRT3
U6,RNU6-884P
HAL,HAL
Y_RNA,Y_RNA
NUP88,NUP88
ZEB2,ZEB2
U6,RNU6-105P
LYPD4,LYPD4
NBR1,NBR1
PALS1,PALS1
GLYR1,GLYR1
mml-mir-770,MIR770
EGR1,EGR1
MINDY1,MINDY1
ATRX,ATRX
VAC14,VAC14
WNT3,WNT3
RNU6ATAC8P,RNU6ATAC8P
Metazoa_SRP,RN7SL764P
NEUROD2,NEUROD2
U6,RNU6-198P
ZNF296,ZNF296
SMARCC2,SMARCC2
CRY2,CRY2
ZSCAN32,ZSCAN32
POLM,POLM
VPS35L,VPS35L
ARHGAP17,ARHGAP17
DDX18,DDX18
CSTF2,CSTF2
SPATA13,SPATA13
PAIP2B,PAIP2B
Y_RNA,Y_RNA
SLC23A3,SLC23A3
SHROOM2,SHROOM2
CHST9,CHST9
KAT14,KAT14
WNT5B,WNT5B
HSPH1,HSPH1
PFDN4,PFDN4
EMC3,EMC3
DNAJC22,DNAJC22
CYP27B1,CYP27B1
UPK1A,UPK1A
DMRTC2,DMRTC2
COL5A3,COL5A3
PENK,PENK
Metazoa_SRP,RN7SL368P
SLC25A53,SLC25A53
ASF1B,ASF1B
MIR337,MIR337
MAP6,MAP6
ZNF470,ZNF470
PNPLA6,PNPLA6
PGAM2,PGAM2
GPSM1,GPSM1
SLC36A4,SLC36A4
APPL2,APPL2
ZSWIM2,ZSWIM2
NOSIP,NOSIP
SCN2A,SCN2A
RTL1,RTL1
SGCD,SGCD
PHACTR1,PHACTR1
PLGRKT,PLGRKT
SPIB,SPIB
FDX1,FDX1
Y_RNA,RNY3P2
FAM199X,FAM199X
U6,RNU6-536P
U6,RNU6-340P
Y_RNA,Y_RNA
ZNF174,ZNF174
IRGC,IRGC
Metazoa_SRP,RN7SL393P
ANXA9,ANXA9
ETF1,ETF1
PPP1R1B,PPP1R1B
ARHGEF33,ARHGEF33
mml-mir-431,MIR431
ZNF202,ZNF202
FBXL14,FBXL14
MTIF3,MTIF3
C5H4orf19,C4orf19
U6,RNU6-577P
NSF,NSF
SPATS2,SPATS2
ACSS2,ACSS2
mml-mir-433,MIR433
CENPE,CENPE
PTPRO,PTPRO
IFT172,IFT172
AKAP10,AKAP10
ZNF71,ZNF71
PPP1R37,PPP1R37
DGUOK,DGUOK
NOS1,NOS1
FOXO1,FOXO1
URGCP,URGCP
PIP5KL1,PIP5KL1
MLNR,MLNR
RUFY2,RUFY2
RPS19,RPS19
mml-mir-127,MIR127
SFRP1,SFRP1
EMILIN3,EMILIN3
SMG9,SMG9
Y_RNA,Y_RNA
KLHDC1,KLHDC1
CNPPD1,CNPPD1
SMCHD1,SMCHD1
TFAM,TFAM
mml-mir-432,MIR432
C13H2orf50,CIMIP5
DNAJC25,DNAJC25
RFK,RFK
MYO16,MYO16
PRRG2,PRRG2
Y_RNA,Y_RNA
VIT,VIT
ATMIN,ATMIN
EHMT1,EHMT1
SLC19A3,SLC19A3
mml-mir-136,MIR136
TSPAN11,TSPAN11
ARHGAP20,ARHGAP20
RBPMS,RBPMS
METTL1,METTL1
ATG101,ATG101
U6,RNU6-118P
SPOCK2,SPOCK2
ALPK2,ALPK2
MOGAT2,MOGAT2
TSNAXIP1,TSNAXIP1
MRPS31,MRPS31
U7,RNU7-75P
MYBPC2,MYBPC2
MAB21L1,MAB21L1
CDADC1,CDADC1
ADGRL1,ADGRL1
CEP290,CEP290
ATP6V1D,ATP6V1D
U6,RNU6-895P
FAM221B,FAM221B
ARNTL2,BMAL2
MBD2,MBD2
LNX2,LNX2
SIPA1,SIPA1
MPHOSPH10,MPHOSPH10
U6,RNU6-556P
U6,RNU6-989P
DOK5,DOK5
UBE2D1,UBE2D1
ADIPOR2,ADIPOR2
SLC35C1,SLC35C1
U3,U3
SNORD112,SNORD112
OR6X1,OR6X1
NOX1,NOX1
HSD3B7,HSD3B7
RBCK1,RBCK1
RELL1,RELL1
WDR70,WDR70
PRR12,PRR12
SNORD65B,SNORD65B
Metazoa_SRP,RN7SL288P
C11H12orf75,C12orf75
NXF1,NXF1
HSPA9,HSPA9
TIMD4,TIMD4
Y_RNA,Y_RNA
ZNF597,ZNF597
OR6M1,OR6M1
ST6GALNAC4,ST6GALNAC4
U6,RNU6-1045P
Y_RNA,Y_RNA
CALCRL,CALCRL
LRRC63,LRRC63
TMEM116,TMEM116
SMIM17,SMIM17
LTA4H,LTA4H
CHD6,CHD6
C20H16orf46,C16orf46
GCNT1,GCNT1
U6,RNU6-1079P
SYNRG,SYNRG
SNORD113-3,SNORD113-3
Metazoa_SRP,RN7SL786P
HINT2,HINT2
NOP58,NOP58
U6,RNU6-378P
TMEM225,TMEM225
U1,RNU1-16P
ZNF429,ZNF429
C10H20orf203,C20orf203
CYB5R3,CYB5R3
SNORD113-4,SNORD113-4
CERS2,CERS2
UBN1,UBN1
SERPINB10,SERPINB10
DGAT2,DGAT2
AQP4,AQP4
FANCD2,FANCD2
BPNT2,BPNT2
GRM8,GRM8
SNORA37,SNORA37
SLC4A11,SLC4A11
NAA60,NAA60
SNORD113-5,SNORD113-5
CDC27,CDC27
RPAIN,RPAIN
PDIA6,PDIA6
KRT80,KRT80
CD79A,CD79A
NKPD1,NKPD1
DCLK1,DCLK1
RASSF3,RASSF3
ASB8,ASB8
OR8D4,OR8D4
CD274,CD274
HNRNPH3,HNRNPH3
TMCO3,TMCO3
TSC2,TSC2
Y_RNA,Y_RNA
ZNF410,ZNF410
NAA10,NAA10
PRUNE2,PRUNE2
ZNF835,ZNF835
TSFM,TSFM
KCNH3,KCNH3
ESX1,ESX1
RNF130,RNF130
EIF2S1,EIF2S1
SNORD113-6,SNORD113-6
CENPT,CENPT
ACTG2,ACTG2
ABCA5,ABCA5
OR4D5,OR4D5
KLHDC2,KLHDC2
SNORD113-7,SNORD113-7
CAB39L,CAB39L
C5,C5
ZFR,ZFR
WWC3,WWC3
RRAS,RRAS
RCN2,RCN2
ZNF337,ZNF337
CNOT6L,CNOT6L
STX1B,STX1B
SNORD113-8,SNORD113-8
Metazoa_SRP,RN7SL791P
RPS16,RPS16
RUBCNL,RUBCNL
SNORD70,SNORD70
NABP1,NABP1
ADGRA2,ADGRA2
SNORD113-9,SNORD113-9
SPAG8,SPAG8
SNORD70B,SNORD70B
IPMK,IPMK
SMCO2,SMCO2
CHST1,CHST1
SNORD114-1,SNORD114-1
SNORD11B,SNORD11B
UVRAG,UVRAG
Y_RNA,Y_RNA
IL1RAPL2,IL1RAPL2
ST6GALNAC6,ST6GALNAC6
BBS2,BBS2
BPIFC,BPIFC
CDT1,CDT1
U6,RNU6-579P
BCO1,BCO1
KLRG1,KLRG1
SNORD11,SNORD11
SERPINB2,SERPINB2
PEG3,PEG3
DCC,DCC
NANP,NANP
A4GALT,A4GALT
MIR592,MIR592
CCDC184,CCDC184
STK32A,STK32A
OR10G8,OR10G8
CCDC187,CCDC187
C13H2orf15,C2orf15
SINHCAF,SINHCAF
RAB40B,RAB40B
mml-mir-122a,MIR122
CACNA2D4,CACNA2D4
C20H16orf90,C16orf90
SREK1,SREK1
Metazoa_SRP,RN7SL40P
RENBP,RENBP
NPR2,NPR2
GARIN5A,GARIN5A
NUAK1,NUAK1
OR10G7,OR10G7
HAVCR2,HAVCR2
ARHGEF1,ARHGEF1
LCMT1,LCMT1
CIMAP1D,CIMAP1D
H1-7,H1-7
XKRX,XKRX
BLOC1S3,BLOC1S3
ZNF43,ZNF43
SETDB2,SETDB2
GNS,GNS
mml-mir-140,MIR140
SCAF1,SCAF1
ZNF800,ZNF800
SUPT5H,SUPT5H
NEMF,NEMF
PRDM5,PRDM5
M6PR,M6PR
BMPR2,BMPR2
U12,RNU12
U2,RNU2-68P
PLEK2,PLEK2
SNORD63,SNORD63B
POU2AF2,POU2AF2
KRT7,KRT7
U6,RNU6-596P
VWA5A,VWA5A
STARD3,STARD3
PSMD7,PSMD7
EMC10,EMC10
ZNF641,ZNF641
SNORD63,SNORD63
EXOC3L2,EXOC3L2
NINL,NINL
ARL13A,ARL13A
TEX13A,TEX13A
CACNG7,CACNG7
Y_RNA,Y_RNA
PCNX3,PCNX3
SERPINB7,SERPINB7
POLDIP3,POLDIP3
NLK,NLK
GSX1,GSX1
STAMBP,STAMBP
NAA25,NAA25
SLC27A2,SLC27A2
MRPL30,MRPL30
DUSP28,DUSP28
CLUAP1,CLUAP1
ASB11,ASB11
QSOX2,QSOX2
CHMP5,CHMP5
Y_RNA,Y_RNA
FCAR,FCAR
CHST3,CHST3
MED7,MED7
Y_RNA,Y_RNA
Metazoa_SRP,RN7SL278P
U6,RNU6-1190P
HCFC1,HCFC1
TNS3,TNS3
TBX5,TBX5
U7,RNU7-104P
AK1,AK1
U6,RNU6-484P
ELF1,ELF1
U6,RNU6-207P
MADCAM1,MADCAM1
RNPEPL1,RNPEPL1
GNA13,GNA13
GAN,GAN
NAGK,NAGK
WNT11,WNT11
MGAT5,MGAT5
POU2AF3,POU2AF3
GARIN3,GARIN3
GALNS,GALNS
NEDD4L,NEDD4L
CKAP4,CKAP4
THOC2,THOC2
SPECC1,SPECC1
PPFIBP1,PPFIBP1
PHKA1,PHKA1
ZDHHC17,ZDHHC17
PSTPIP1,PSTPIP1
COA1,COA1
ITPA,ITPA
NRK,NRK
SUFU,SUFU
PDX1,PDX1
DEUP1,DEUP1
SYT13,SYT13
C1QBP,C1QBP
PGM2,PGM2
GDNF,GDNF
RTCB,RTCB
PHC1,PHC1
RSPRY1,RSPRY1
TBC1D30,TBC1D30
ITK,ITK
U6,RNU6-893P
C16H17orf99,C17orf99
ZFAND2B,ZFAND2B
AATK,AATK
GCC1,GCC1
MCRS1,MCRS1
Metazoa_SRP,RN7SL96P
SERPINB11,SERPINB11
CCL20,CCL20
CDR2L,CDR2L
ZWINT,ZWINT
U2,RNU2-6P
GTF2E2,GTF2E2
IRF3,IRF3
PIH1D2,PIH1D2
CDX2,CDX2
TFPI,TFPI
AVIL,AVIL
TRMT2B,TRMT2B
CAVIN2,CAVIN2
HACD4,HACD4
Y_RNA,Y_RNA
PSAP,PSAP
JOSD2,JOSD2
TMEM229B,TMEM229B
COLEC12,COLEC12
THAP11,THAP11
ACTA2,ACTA2
Y_RNA,Y_RNA
LRCH1,LRCH1
Y_RNA,Y_RNA
U6,RNU6-851P
MARK4,MARK4
U7,RNU7-176P
LHX3,LHX3
PPL,PPL
URAD,URAD
P2RY2,P2RY2
MORN2,MORN2
NOP10,NOP10
NUTF2,NUTF2
ARL2BP,ARL2BP
CACNG8,CACNG8
U7,RNU7-137P
NKAPD1,NKAPD1
TMEM106A,TMEM106A
U7,RNU7-29P
ARF5,ARF5
MTREX,MTREX
PIK3R2,PIK3R2
