Gene name	Chimpanzee gene name	Chimpanzee homology type	%id. target Chimpanzee gene identical to query gene	%id. query gene identical to target Chimpanzee gene	Chimpanzee Gene-order conservation score	Chimpanzee Whole-genome alignment coverage	Chimpanzee orthology confidence [0 low, 1 high]
FCRLB	FCRLB	ortholog_one2one	99.5305	99.5305	50	100.00	1
							
							
							
							
							
FN3K	FN3K	ortholog_one2one	99.3528	99.3528	100	100.00	1
MLF1-DT							
LRP1-AS							
MIR1228	MIR1228	ortholog_one2one	100	100		100.00	1
NXPH4	NXPH4	ortholog_one2one	99.6753	99.6753	100	100.00	1
							
							
							
PRSS38	PRSS38	ortholog_one2one	98.4663	98.4663	75	100.00	1
							
							
OR10R2	OR10R2	ortholog_one2one	99.3827	99.3827	100	100.00	1
SHMT2	SHMT2	ortholog_one2one	99.4048	99.4048	100	100.00	1
							
OR2L13	OR2L13	ortholog_one2one	99.0385	99.0385	100	100.00	1
							
							
							
NOTCH2NLR							
							
OR14L1							
							
PRAMEF18							
							
							
							
CLEC20A	CLEC20A	ortholog_one2one	99	99	100	100.00	1
							
TTC34	TTC34	ortholog_one2one	81.9277	98.441	100	100.00	1
TBCD	TBCD	ortholog_one2one	94.6309	92.1569	100	100.00	1
NBPF14							
							
							
LRRC77P							
TAS1R2	TAS1R2	ortholog_one2one	99.0465	99.0465	100	100.00	1
TAF5L	TAF5L	ortholog_one2one	100	100	100	100.00	1
TNFRSF4	TNFRSF4	ortholog_one2one	89.5307	91.1765	75	100.00	1
LRRFIP1	LRRFIP1	ortholog_one2many	49.2188	38.9851	100	100.00	0
LRRFIP1		ortholog_one2many	36.7188	32.2359	0	0.00	0
							
LINC02732							
NFIA	NFIA	ortholog_one2one	100	91.8773	100	100.00	1
LINC02733							
							
NDUFA4L2	NDUFA4L2	ortholog_one2one	100	100	100	100.00	1
STAC3	STAC3	ortholog_one2one	99.4505	99.4505	100	100.00	1
LINC02715							
							
							
							
HOXC13-AS							
HOXC-AS3							
ROCK2	ROCK2	ortholog_one2one	99.8559	99.8559	100	100.00	1
							
HOXC-AS1							
FLJ12825							
							
							
							
							
CFHR2							
							
LINC02046							
FAM242C							
							
							
							
							
AKR1D1P1							
LINC02381							
CREG1	CREG1	ortholog_one2one	99.5455	99.5455	100	100.00	1
							
							
							
							
CD247	CD247	ortholog_one2one	99.3902	100	100	100.00	1
CALCOCO1	CALCOCO1	ortholog_one2one	99.7106	99.7106	100	100.00	1
							
							
LINC02706							
							
LINC01565							
							
LINC02028							
VPS11-DT							
							
FAUP4							
DCDC2C	DCDC2C	ortholog_one2one	96.1538	97.7654	100	100.00	1
							
							
NPM1P48							
		ortholog_one2one	97.619	97.619		100.00	1
RNU6-649P	U6	ortholog_one2one	100	100		100.00	1
							
SOX11	SOX11	ortholog_one2one	99.5465	99.5465	100	100.00	1
G3BP1P1							
							
ENEMAL							
							
R3HDM1	R3HDM1	ortholog_one2one	95.8554	98.6388	100	100.00	1
LINC02736							
							
							
							
							
							
							
TALAM1							
							
ZNRD2-DT							
LINC01699							
							
							
Metazoa_SRP	Metazoa_SRP	ortholog_one2one	90	90.3226		100.00	1
RNA5SP70							
							
RN7SKP229	7SK	ortholog_one2one	98.6755	96.129		100.00	1
							
MASP2	MASP2	ortholog_one2many	98.688	98.688	100	100.00	1
MASP2	MASP2	ortholog_one2many	98.688	98.688	50	100.00	1
RELA-DT							
							
CAMTA1-AS3							
RNU1-8P	U1	ortholog_one2one	96.9697	96.9697		100.00	1
							
							
MIR1290							
AXDND1	AXDND1	ortholog_one2one	99.0119	99.0119	100	100.00	1
							
							
							
OVOL1-AS1							
							
							
							
SIPA1	SIPA1	ortholog_one2one	100	100	100	100.00	1
							
CISTR							
							
							
MBNL1-AS1							
							
							
							
							
AADACL2-AS1							
RN7SKP289	7SK	ortholog_one2one	98.3051	99.3151		100.00	1
							
HOTAIR							
MIR130AHG							
LINC02066							
MEF2AP1							
HNRNPA1P54							
							
NPHS2	NPHS2	ortholog_one2one	99.7389	99.7389	100	100.00	1
							
ZDHHC5	ZDHHC5	ortholog_one2one	99.8601	99.8601	100	100.00	1
LINC00501							
MCM6	MCM6	ortholog_one2one	100	100	100	100.00	1
RNU5F-2P	U5	ortholog_one2one	98.7805	98.7805		100.00	1
							
							
CEPT1	CEPT1	ortholog_one2one	100	100	100	100.00	1
							
							
LINC02409							
							
							
							
BALR6							
							
							
							
LINC00973							
							
							
							
NRP2	NRP2	ortholog_one2one	99.676	99.1407	100	100.00	1
							
C11orf21	C11H11orf21	ortholog_one2one	85.6061	64.2045	100	100.00	0
							
							
							
							
							
							
							
							
							
							
							
STX5-DT							
							
							
							
							
							
ANGPTL7	ANGPTL7	ortholog_one2one	99.422	99.422	100	100.00	1
							
							
SNHG1							
							
SUCLG2-DT							
RNU6-291P	U6	ortholog_one2one	98.1308	98.1308		100.00	1
RPL39P6							
UBIAD1	UBIAD1	ortholog_one2one	99.7041	99.7041	100	100.00	1
SYNRG	SYNRG	ortholog_one2one	97.7169	95.9641	100	100.00	1
UBE2V2P3							
ZNF687	ZNF687	ortholog_one2one	99.6766	99.6766	100	100.00	1
							
							
							
							
							
							
OSTN-AS1							
PI4KB	PI4KB	ortholog_one2one	99.8774	98.1928	100	100.00	1
LINC02005							
CHL1-AS2							
							
							
							
							
							
LRRC3B-AS1							
							
							
							
							
ST3GAL6-AS1							
							
							
							
							
RN7SL444P	Metazoa_SRP	ortholog_one2one	99.3333	99.3333		100.00	1
RFX5	RFX5	ortholog_one2one	99.513	99.513	100	100.00	1
							
							
							
NRP2-AS1							
							
							
							
							
							
RN7SKP178	7SK	ortholog_one2one	99.696	99.696		100.00	1
PPIAP68							
							
							
							
Vault	Vault	ortholog_one2one	100	100		100.00	1
Y_RNA	Y_RNA	ortholog_one2one	100	100		100.00	1
RPL27P8							
PARD3B	PARD3B	ortholog_one2one	99.0042	99.0042	100	100.00	1
							
							
							
							
							
LINC02040							
							
							
							
							
							
							
							
							
LINC00698							
DDX52	DDX52	ortholog_one2one	99.4992	99.4992	100	100.00	1
							
							
ERBB4	ERBB4	ortholog_one2one	96.0245	90.6205	100	100.00	1
							
							
							
							
PRICKLE2-DT							
							
SRGAP3-AS4							
							
SELENBP1	SELENBP1	ortholog_one2one	98.9407	90.856	100	100.00	1
LMLN-AS1							
							
							
KCNH7	KCNH7	ortholog_one2one	99.8328	99.8328	100	100.00	1
							
ACADVL	ACADVL	ortholog_one2one	96.9466	93.7962	100	100.00	1
CAMKMT	CAMKMT	ortholog_one2one	99.6904	99.6904	100	100.00	1
							
							
							
							
							
							
		ortholog_one2one	100	100		100.00	1
		ortholog_one2one	99.631	99.631		100.00	1
							
							
							
SIX3	SIX3	ortholog_one2one	99.3976	99.6979	100	100.00	1
							
B4GALT4-AS1							
SIX2	SIX2	ortholog_one2one	100	100	100	100.00	1
PLCL1	PLCL1	ortholog_one2one	99.9087	99.9087	100	100.00	1
MUC20-OT1							
							
SNED1	SNED1	ortholog_one2one	97.2399	97.7936	100	100.00	1
PSMB4	PSMB4	ortholog_one2one	99.6212	99.6212	100	100.00	1
RNY4P25	Y_RNA	ortholog_one2one	98.9583	98.9583		100.00	1
CGN							
							
MTERF4	MTERF4	ortholog_one2one	95.5381	96.2963	100	100.00	1
							
							
		ortholog_one2one	100	100		100.00	1
TUFT1	TUFT1	ortholog_one2one	98.2051	98.2051	100	100.00	1
HEATR9	HEATR9	ortholog_one2one	98.4211	98.4211	100	100.00	1
PASK	PASK	ortholog_one2one	98.3371	98.3371	100	100.00	1
							
MIR554	ptr-mir-554	ortholog_one2one	100	100		100.00	1
							
DPPA2P2							
RPS6KA1	RPS6KA1	ortholog_one2one	96.5986	95.4301	100	100.00	1
RFNG	RFNG	ortholog_one2one	99.0937	98.4985	75	100.00	1
DUS1L		ortholog_one2one	99.5772	99.5772	0	0.00	0
							
PPP1R7	PPP1R7	ortholog_one2one	99.7222	95.4787	100	100.00	1
MIR1976	MIR1976	ortholog_one2one	100	100		100.00	1
RN7SL679P	Metazoa_SRP	ortholog_one2one	99.6711	99.6711		100.00	1
Y_RNA	Y_RNA	ortholog_one2one	100	100		100.00	1
RNU7-29P							
							
WBP1LP7							
OR4F29		ortholog_many2many	90.0641	94.9324	0	0.00	0
OR4F29		ortholog_many2many	87.8205	97.1631	0	0.00	0
OR4F29		ortholog_many2many	92.6282	95.6954	0	0.00	0
							
DHDDS	DHDDS	ortholog_one2one	99.3994	99.1018	100	100.00	1
							
							
							
LINC01206							
ADAP2	ADAP2	ortholog_one2one	99.2126	97.6744	75	100.00	1
							
SLFN11	SLFN11	ortholog_one2one	98.1132	98.1132	100	100.00	1
ANO7	ANO7	ortholog_one2one	99.2036	93.462	100	100.00	1
							
							
							
MIR365BHG							
							
RAB11FIP4	RAB11FIP4	ortholog_one2one	100	100	100	100.00	1
HDLBP	HDLBP	ortholog_one2one	99.8423	99.8423	100	100.00	1
TARDBP	TARDBP	ortholog_one2many	100	100	50	25.76	0
TARDBP	TARDBP	ortholog_one2many	100	100	100	100.00	1
IQCJ-SCHIP1-AS1							
							
NARF	NARF	ortholog_one2one	85.307	80.3719	100	100.00	1
							
							
							
							
ZBTB47-AS1							
							
							
							
							
							
							
LINC02004							
							
NSRP1P1							
HSPE1P25							
NEXN-AS1							
							
NEXN	NEXN	ortholog_one2one	99.2593	99.2593	100	100.00	1
							
							
							
LINC01994							
							
EOGT-DT							
B3GNTL1	B3GNTL1	ortholog_one2one	80.0578	87.1069	75	100.00	1
							
							
							
DNAJB4	DNAJB4	ortholog_one2one	100	97.9651	100	100.00	1
							
							
							
							
							
							
							
RNU6-1102P	U6	ortholog_one2one	100	100		100.00	1
							
							
FUBP1							
							
							
							
							
							
CACNA2D3-AS1							
							
SATB1-AS1							
							
							
							
							
							
							
GPR39	GPR39	ortholog_one2one	99.117	99.117	50	100.00	1
							
RN7SKP103	7SK	ortholog_one2one	98.75	98.75		100.00	1
SLC35F6	SLC35F6	ortholog_one2one	99.7305	99.7305	100	100.00	1
							
							
CCDC57	CCDC57	ortholog_one2one	87.147	97.8142	75	100.00	1
CENPA	CENPA	ortholog_one2one	98.5714	100	100	100.00	1
NPR1	NPR1	ortholog_one2many	99.9057	99.9057	50	39.02	0
NPR1	NPR1	ortholog_one2many	99.9057	99.9057	100	100.00	1
CDKN2AIPNLP2							
DPYSL5	DPYSL5	ortholog_one2one	99.8227	99.646	100	100.00	1
SUZ12		ortholog_one2many	95.9405	98.4722	0	0.00	0
SUZ12		ortholog_one2many	96.0758	98.6111	0	0.00	0
SUZ12	SUZ12	ortholog_one2many	99.594	99.594	50	100.00	1
MIR8083							
							
RN7SL372P	Metazoa_SRP	ortholog_one2one	98.6577	98.6577		100.00	1
GEMIN2P1							
							
Y_RNA	Y_RNA	ortholog_one2one	99.0196	99.0196		100.00	1
HLMR1							
INTS3	INTS3	ortholog_one2one	100	100	100	100.00	1
LRRC37B							
CD200R1L-AS1							
							
							
CGREF1	CGREF1	ortholog_one2one	98.1132	70.9091	100	100.00	0
							
							
							
							
							
							
ITPR1-DT							
							
							
TDRD15	TDRD15	ortholog_one2one	98.5522	98.5522	100	100.00	1
ADAMTS9-AS2							
APOB	APOB	ortholog_one2one	98.5755	98.5971	100	100.00	1
ZNHIT3	ZNHIT3	ortholog_one2one	99.3548	99.3548	50	100.00	1
							
							
							
							
GNG3	GNG3	ortholog_one2one	100	100	100	100.00	1
							
							
							
SLC27A3	SLC27A3	ortholog_one2one	99.1215	83.4772	100	100.00	1
							
							
							
							
							
							
							
							
ERICH6-AS1							
							
LINC02989							
							
MICAL2	MICAL2	ortholog_one2one	99.6441	99.6441	100	100.00	1
MYO19	MYO19	ortholog_one2one	99.2784	99.2784	75	100.00	1
LINC01322							
RMDN2							
Y_RNA	Y_RNA	ortholog_one2one	99.0196	99.0196		100.00	1
GATAD2B	GATAD2B	ortholog_one2one	99.8314	99.8314	100	100.00	1
							
							
RMDN2-AS1							
KCND3	KCND3	ortholog_one2one	100	100	100	100.00	1
RNU6-951P	U6	ortholog_one2one	100	97.2727		100.00	1
							
GAPDHP25							
ATL2	ATL2	ortholog_one2one	93.825	94.4732	100	100.00	1
							
KCNH1	KCNH1	ortholog_one2one	100	100	100	100.00	1
							
							
							
							
							
							
GGNBP2	GGNBP2	ortholog_one2one	100	100	100	100.00	1
							
							
							
							
							
COPB1	COPB1	ortholog_one2one	99.7901	99.7901	100	100.00	1
TPRXL							
DHRS11	DHRS11	ortholog_one2one	99.2308	99.2308	100	100.00	1
							
							
CCL3-AS1							
MELTF-AS1							
							
							
							
							
							
							
							
ALKAL2	ALKAL2	ortholog_one2one	99.3421	99.3421	100	100.00	1
							
PRRT3-AS1							
							
							
							
							
							
NAALADL2-AS1							
							
IPO8P1							
							
RACK1P2							
							
							
VIT	VIT	ortholog_one2one	99.1342	99.1342	100	100.00	1
							
							
PRELID1P5							
RNU7-49P							
							
							
							
GNB1	GNB1	ortholog_one2one	100	100	100	100.00	1
							
PSMA1	PSMA1	ortholog_one2one	99.6198	97.3978	100	100.00	1
							
CCL18	CCL18	ortholog_one2one	97.7528	97.7528	100	100.00	1
CCL3	CCL3	ortholog_one2one	96.7391	96.7391	75	100.00	1
							
							
							
LINC01391							
							
CCL4	CCL4L2	ortholog_one2many	70.6522	63.1068	50	0.00	0
CCL4	CCL4	ortholog_one2many	96.7391	96.7391	50	100.00	1
							
							
							
							
							
CCL3L3	CCL3L3	ortholog_one2one	91.3979	97.7011	50	100.00	1
MYO1D-DT							
TMEM98	TMEM98	ortholog_one2one	100	100	100	100.00	1
STRN	STRN	ortholog_one2one	99.8718	99.8718	100	100.00	1
							
RNU6-577P	U6	ortholog_one2one	95.9184	95.9184		100.00	1
TMEM178A	TMEM178A	ortholog_one2one	100	100	100	100.00	1
VWA3B	VWA3B	ortholog_one2one	98.8408	98.8408	100	100.00	1
							
							
MYO1D	MYO1D	ortholog_one2one	99.6024	99.6024	100	100.00	1
PDE3B	PDE3B	ortholog_one2one	99.5504	99.4609	100	100.00	1
CFAP44-AS1							
							
LINC01210							
MORF4L1P3							
CSKMT	CSKMT	ortholog_one2one	98.75	98.75	100	100.00	1
							
UQCC3	UQCC3	ortholog_one2one	100	70.9924	100	100.00	0
SDHAP1							
							
							
ATP5F1BP1							
RPL34P8							
							
CENPNP2							
MIR4771-2		ortholog_one2many	100	100		100.00	1
CSNK1D	CSNK1D	ortholog_one2one	97.5904	94.8478	100	100.00	1
							
MERTK	MERTK	ortholog_one2one	92.8929	96.3655	100	100.00	1
							
KDM4F	KDM4F	ortholog_one2one	96.7085	96.7085	100	100.00	1
							
							
							
							
							
MAP3K11	MAP3K11	ortholog_one2one	99.4097	99.4097	100	100.00	1
GSTM4	GSTM4	ortholog_one2one	99.0826	99.0826	50	100.00	1
ZC3H6	ZC3H6	ortholog_one2one	98.9907	98.9907	75	100.00	1
GSTM1	GSTM1	ortholog_one2one	98.6239	98.6239	75	100.00	1
RGPD8		ortholog_one2many	26.0057	70.9428	0	0.00	0
MRGPRG-AS1							
							
							
DCXR	DCXR	ortholog_one2one	97.541	97.541	100	100.00	1
							
							
GSTM5	GSTM5	ortholog_one2many	98.1651	98.6175	100	100.00	1
GSTM5		ortholog_one2many	79.8165	80.5556	25	52.87	0
							
							
							
LINC00506							
							
GSTM3	GSTM3	ortholog_one2many	99.5556	99.5556	25	100.00	1
GSTM3	GSTM3	ortholog_one2many	99.5556	99.5556	100	100.00	1
							
EPS8L3	EPS8L3	ortholog_one2one	98.9882	98.8215	100	100.00	1
							
GPD2	GPD2	ortholog_one2one	100	96.5471	100	100.00	1
FAM86JP							
							
							
OR2T7							
							
MTND1P23							
MTND2P28							
MTCO1P12							
							
MTCO2P12							
MTATP8P1							
MTATP6P1							
LRRC45	LRRC45	ortholog_one2one	99.8507	99.8507	100	100.00	1
MTCO3P12							
WBP1LP6							
OR4F16		ortholog_many2many	90.0641	94.9324	0	100.00	1
OR4F16		ortholog_many2many	87.8205	97.1631	0	0.00	0
OR4F16		ortholog_many2many	92.6282	95.6954	0	0.00	0
CICP3							
RNU6-1199P	U6	ortholog_many2many	95.1923	99		100.00	1
RNU6-1199P	U6	ortholog_many2many	95.1923	99		0.00	0
							
							
CICP21							
RNU6-747P	U6	ortholog_one2one	100	100		0.00	0
							
GYG1P3							
MIR4422							
USP24	USP24	ortholog_one2one	99.8855	99.9236	100	100.00	1
							
RAC3	RAC3	ortholog_one2one	98.4375	92.1951	100	100.00	1
RBM45	RBM45	ortholog_one2one	100	100	100	100.00	1
							
ZIC4-AS1							
							
XNDC1CP							
XNDC1CP							
TRPC2							
CNOT9	CNOT9	ortholog_one2one	99.3311	89.7281	100	100.00	1
							
							
							
							
							
							
CCT6B	CCT6B	ortholog_one2one	97.3585	93.3092	100	100.00	1
							
							
TRPC2							
							
							
							
							
STIM1-AS1							
							
ODF2L	ODF2L	ortholog_one2one	92.236	93.3962	100	100.00	1
							
							
PLCH1-AS2							
							
TWIST2							
ARHGEF4	ARHGEF4	ortholog_one2one	98.774	98.774	100	100.00	1
							
							
							
LARS2-AS1							
							
							
							
ZNF830	ZNF830	ortholog_one2one	99.1936	95.1031	100	100.00	1
							
							
							
							
							
GPS1	GPS1	ortholog_one2one	98.1519	88.6827	50	100.00	1
							
TM4SF18-AS1							
							
XNDC1N	XNDC1N	ortholog_one2one	67.094	75.8454	75	100.00	0
							
							
							
							
							
MSH6	MSH6	ortholog_one2one	99.4118	99.4118	100	100.00	1
							
							
							
							
							
MRPL23-AS1							
							
LINC01219							
							
PERM1		ortholog_one2many	6.58228	86.6667	0	100.00	0
PERM1	PERM1	ortholog_one2many	95.3165	95.0758	100	100.00	1
H19							
KIRREL1	KIRREL1	ortholog_one2one	99.8679	99.8679	100	100.00	1
							
							
							
							
							
							
							
							
							
							
							
							
							
KIRREL1-IT1							
ELL2P1							
CD1D	CD1D	ortholog_one2one	97.9104	97.9104	100	100.00	1
							
							
							
							
							
							
							
							
DENND6A-DT							
RNU1-7P	U1	ortholog_one2one	98.7805	98.7805		100.00	1
							
							
RERE-AS1							
							
							
		ortholog_one2one	100	100		100.00	1
							
							
RPL7P11							
RPL7P7							
CTDSP1	CTDSP1	ortholog_one2one	100	100	100	100.00	1
Y_RNA	Y_RNA	ortholog_one2one	100	100		100.00	1
							
							
RPL23AP19							
ENO1	ENO1	ortholog_one2one	100	100	100	100.00	1
IGF2	IGF2	ortholog_one2one	100	76.2712	100	100.00	0
TM4SF1-AS1							
							
							
							
							
ASXL2	ASXL2	ortholog_one2one	99.3728	99.3728	100	100.00	1
							
ATAD5	ATAD5	ortholog_one2one	98.6442	98.6442	75	100.00	1
							
							
							
LINC00880							
							
							
							
SNHG33							
							
PPP1R1AP1							
							
RNA5SP344							
							
							
							
LINC02761							
							
LINC02029							
TEFM	TEFM	ortholog_one2one	99.4444	99.4444	100	100.00	1
RNU6-360P	U6	ortholog_one2one	100	100		100.00	1
RPL9P14							
RNA5SP116							
RPL12P17							
CRYGEP							
CRYGD	CRYGD	ortholog_one2one	100	100	100	100.00	1
							
							
							
GVQW3		ortholog_one2one	70.5882	51.9685	100	100.00	0
CRYGC	CRYGC	ortholog_one2one	99.4253	99.4253	100	100.00	1
							
							
							
NF1	NF1	ortholog_one2one	99.9648	99.9648	0	100.00	1
FAM136A	FAM136A	ortholog_one2one	100	100	100	100.00	1
EMSY-DT							
							
							
							
							
							
							
							
EIF1B-AS1							
SMIM39							
							
							
DBIL5P2							
							
DBIL5P2							
							
FUNDC2P2							
							
							
							
HNRNPA1P57							
							
RPL38P2							
							
PAFAH1B1P2							
							
							
ATP5F1AP2							
							
DNAJB3							
DNAJB3							
TSKU-AS1							
							
NOC2LP1							
RPS4XP5							
							
							
							
GPAA1P2							
							
							
MYADML							
							
PLAAT4	PLAAT4	ortholog_one2one	99.3902	99.3902	100	100.00	1
							
VINAC1P							
PRORSD1P							
MIR6728							
RNU6-304P							
HMGN2P17							
AHSA2P							
							
							
CA6	CA6	ortholog_one2one	89.9351	88.7821	100	100.00	1
SLC7A14-AS1							
PLAAT2	PLAAT2	ortholog_one2one	98.7654	98.7654	100	100.00	1
							
							
INO80D	INO80D	ortholog_one2one	99.9026	99.9026	100	100.00	1
							
							
							
							
							
							
							
							
							
CFAP20DC-AS1							
PATL1-DT							
RN7SKP192	7SK	ortholog_one2one	99.3884	99.3884		100.00	1
OR10V1	OR10V1	ortholog_one2one	98.7055	98.7055	100	100.00	1
ZBTB11-AS1							
STX3	STX3	ortholog_one2one	97.2318	96.8966	100	100.00	1
NEPRO-AS1							
RN7SL451P	Metazoa_SRP	ortholog_one2one	98.6622	97.3597		100.00	1
RERE	RERE	ortholog_one2one	99.7446	99.7446	100	100.00	1
NDUFS1	NDUFS1	ortholog_one2one	99.5873	97.8378	100	100.00	1
							
LINC02044							
							
							
							
							
MTHFD2P1							
							
LPP-AS1							
							
							
							
							
							
OR10Y1P							
OR10V3P							
							
OR10V2P							
							
							
							
FABP5P7							
							
MRPL16	MRPL16	ortholog_one2one	99.6016	99.6016	100	100.00	1
							
							
							
PEX5L-AS2							
CBLIF	CBLIF	ortholog_one2one	99.0408	99.0408	100	100.00	1
							
							
							
							
TCN1	TCN1	ortholog_one2one	98.8453	98.8453	100	100.00	1
							
CYBC1	CYBC1	ortholog_one2one	80.2139	78.9474	100	100.00	0
LINC02021							
OOSP3							
SRD5A3P1							
OOSP1							
							
RIT1	RIT1	ortholog_one2one	100	92.7966	100	100.00	1
OOSP4A							
							
OOSP4B							
OOSP2	OOSP2	ortholog_one2one	98.7342	98.7342	100	100.00	1
MS4A3	MS4A3	ortholog_one2one	92.9907	93.8679	100	100.00	1
HNRNPU	HNRNPU	ortholog_one2one	100	100	100	100.00	1
							
							
							
LINC01983							
							
EEF1B2		ortholog_one2many	98.6667	98.6667	0	0.00	0
EEF1B2	EEF1B2	ortholog_one2many	100	100	100	100.00	1
MS4A2	MS4A2	ortholog_one2one	97.541	97.541	100	100.00	1
							
							
							
LINC02054							
LINC02705							
							
LINC02735							
							
FADS2B							
							
							
							
							
ZDBF2	ZDBF2	ortholog_one2one	98.8955	98.8955	100	100.00	1
							
ATP11B-DT							
							
							
UBL5P2							
							
							
RHBDL3	RHBDL3	ortholog_one2one	69.802	67.7885	75	100.00	0
							
							
							
PRR33	PRR33	ortholog_one2one	98.1211	98.1211	100	100.00	1
SELENOH	SELENOH	ortholog_one2one	98.3607	99.1736	100	100.00	1
							
							
TUBA4B	TUBA4B	ortholog_one2one	95.4357	95.4357	75	100.00	1
							
							
OSBPL10-AS1							
							
FAM95A							
EIF5B	EIF5B	ortholog_one2one	99.6721	99.6721	100	100.00	1
							
							
							
							
							
							
							
							
							
							
C17orf75	C17H17orf75	ortholog_one2one	99.4949	99.4949	100	100.00	1
							
							
							
							
							
							
							
NEAT1							
							
							
							
							
							
							
MALAT1							
SPTBN1	SPTBN1	ortholog_one2one	99.9577	99.8732	100	100.00	1
XXYLT1-AS2							
							
							
							
							
PTPN23-DT							
							
							
PSMD11	PSMD11	ortholog_one2one	100	100	100	100.00	1
							
							
LINC01997							
							
							
							
							
							
							
							
							
							
							
							
							
KCNQ1-AS1							
SLC22A18AS							
							
							
							
							
KCNQ1OT1							
							
							
RAD51D	RAD51D	ortholog_one2one	88.4146	83.3333	100	100.00	1
							
							
							
SC5D	SC5D	ortholog_one2one	98.3278	98.3278	100	100.00	1
							
CCDC39-AS1							
BCL6-AS1							
							
OR6B3							
RNU2-39P	U2	ortholog_one2one	97.9798	97.9798		100.00	1
BMPR1AP2							
		ortholog_one2one	98.5507	98.5507		100.00	1
SPR	SPR	ortholog_one2one	98.8506	98.8506	100	100.00	1
SORL1-AS1							
							
							
							
							
							
EMX1	EMX1	ortholog_one2one	99.3103	99.3103	100	100.00	1
							
							
SORL1	SORL1	ortholog_one2one	99.458	99.458	100	100.00	1
							
							
LINC01266							
							
SPEN	SPEN	ortholog_one2one	99.4814	99.5358	100	100.00	1
SFXN5	SFXN5	ortholog_one2one	100	100	100	100.00	1
							
							
							
							
							
LINC01208							
VN1R5							
OR10J4							
							
PRKCZ-AS1							
FAAP20	FAAP20	ortholog_one2one	97.2222	97.2222	100	100.00	1
							
							
							
							
LINC00887							
							
							
							
							
							
							
							
							
							
SNORD118							
							
							
							
LINC00324							
							
RAB11FIP5	RAB11FIP5	ortholog_one2one	99.0181	99.3182	100	100.00	1
							
							
							
SKI	SKI	ortholog_one2one	98.9011	97.8261	100	100.00	1
							
							
							
							
LINC02048							
PTGES3L							
LINC01988							
WDR26	WDR26	ortholog_one2one	86.8594	100	100	100.00	1
NOTO	NOTO	ortholog_one2one	99.2032	99.2032	100	100.00	1
							
LINC02037							
SMYD5	SMYD5	ortholog_one2one	98.8038	99.5181	100	100.00	1
TBC1D3F	TBC1D3B	ortholog_one2many	96.357	96.357	25	93.36	1
C3orf86P							
							
RNU2-1							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
PRADC1	PRADC1	ortholog_one2one	100	100	100	100.00	1
							
							
							
							
							
CCT7	CCT7	ortholog_one2one	100	100	100	100.00	1
							
							
							
							
LINC02024							
							
LINC02953							
LINC02952							
							
							
LINC01488							
Y_RNA	Y_RNA	ortholog_one2one	95.9677	95.9677		0.00	0
MIR5087							
RNVU1-21	U1	ortholog_one2many	98.7179	98.7179		100.00	1
RNVU1-21	U1	ortholog_one2many	98.7179	98.7179		0.00	0
							
LINC02747							
RNVU1-1	U1	ortholog_one2one	96.3415	96.3415		0.00	0
RNU1-155P	U1	ortholog_one2one	98.5185	98.5185		0.00	0
MIR6077							
RNVU1-2							
RNVU1-3							
							
							
							
CYCSP4							
RNU6-89P							
RPS27P8							
SNORA70	SNORA70	ortholog_one2many	98.3051	98.3051		100.00	1
SYT2	SYT2	ortholog_one2one	100	100	100	100.00	1
							
							
							
							
							
							
KDM5B	KDM5B	ortholog_one2one	99.5466	97.2785	100	100.00	1
LRRC2-AS1							
							
							
							
RBMS3-AS3							
							
							
LINC02020							
FBXO41	FBXO41	ortholog_one2one	98.9714	98.521	100	100.00	1
EGR4	EGR4	ortholog_one2one	99.5885	82.1732	100	100.00	1
							
							
COL3A1	COL3A1	ortholog_one2one	99.9318	99.9318	100	100.00	1
							
							
							
LINC02924							
							
LINC02031							
							
							
							
CNTN4-AS2							
							
MORC1-AS1							
ZBTB20-AS1							
TMEM30CP							
							
							
							
							
COL5A2	COL5A2	ortholog_one2one	99.8666	99.8666	100	100.00	1
							
							
							
							
							
							
							
							
							
							
							
							
RARB-AS1							
SYNPR-AS1							
							
							
							
							
							
							
PPP1R12B	PPP1R12B	ortholog_one2one	99.6945	93.8639	100	100.00	1
							
MIR3129							
XPO1	XPO1	ortholog_one2one	99.9066	99.9066	100	100.00	1
							
							
LINC01205							
							
							
							
							
							
							
							
							
							
							
							
							
LINC02043							
							
							
							
							
THRB-AS2							
							
							
THRB-AS1							
							
							
							
							
							
							
							
FAM20B	FAM20B	ortholog_one2one	99.022	98.7805	100	100.00	1
							
							
							
TOR3A	TOR3A	ortholog_one2one	98.9924	98.9924	100	100.00	1
MSH2	MSH2	ortholog_one2one	91.1135	98.3815	100	100.00	1
							
							
							
							
ABL2	ABL2	ortholog_one2one	99.7462	99.7462	100	100.00	1
							
							
							
NAALADL2-AS3							
LINC02035							
							
							
LINC02030							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
LINC01986							
							
							
							
SETP10							
LINC02050							
		ortholog_one2one	98.1308	98.1308		100.00	1
		ortholog_one2one	98.5816	98.5816		100.00	1
EIF4A1P11							
							
COX5BP8							
							
GPR3	GPR3	ortholog_one2one	99.697	99.697	100	100.00	1
							
							
							
ACTN2	ACTN2	ortholog_one2one	99.1051	99.1051	100	100.00	1
LINC00870							
